Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03063s
Tiempo promedio;0.00103063s
Tiempos individuales (s):
Ejecución 404;0.0010221
Ejecución 405;0.0009237
Ejecución 406;0.0009936
Ejecución 407;0.0009901
Ejecución 408;0.0009999
Ejecución 409;0.0009998
Ejecución 410;0.0010003
Ejecución 411;0.0004266
Ejecución 412;0.0009688
Ejecución 413;0.0010062
Ejecución 414;0.0010001
Ejecución 415;0.0009985
Ejecución 416;0.0003851
Ejecución 417;0.0011947
Ejecución 418;0.0006487
Ejecución 419;0.0010002
Ejecución 420;0.0010003
Ejecución 421;0.0013755
Ejecución 422;0.0010063
Ejecución 423;0.0010002
Ejecución 424;0.0003444
Ejecución 425;0.0003076
Ejecución 426;0.0009913
Ejecución 427;0.0004225
Ejecución 428;0.0012779
Ejecución 429;0.001
Ejecución 430;0.0010746
Ejecución 431;0.0010001
Ejecución 432;0.0010191
Ejecución 433;0.0011634
Ejecución 434;0.0009997
Ejecución 435;0.0010027
Ejecución 436;0.0011084
Ejecución 437;0.0010101
Ejecución 438;0.0009999
Ejecución 439;0.0010051
Ejecución 440;0.0009972
Ejecución 441;0.0005338
Ejecución 442;0.0012506
Ejecución 443;0.0051007
Ejecución 444;0.0010016
Ejecución 445;0.0009998
Ejecución 446;0.001001
Ejecución 447;0.0015334
Ejecución 448;0.000348
Ejecución 449;0.0009989
Ejecución 450;0.0012943
Ejecución 451;0.0010001
Ejecución 452;0.000697
Ejecución 453;0.0010117
Ejecución 454;0.000999
Ejecución 455;0.0009996
Ejecución 456;0.0010115
Ejecución 457;0.0009996
Ejecución 458;0.0010898
Ejecución 459;0.0010062
Ejecución 460;0.0015099
Ejecución 461;0.0008356
Ejecución 462;0.0012954
Ejecución 463;0.0009995
Ejecución 464;0.000998
Ejecución 465;0.0009489
Ejecución 466;0.0009995
Ejecución 467;0.0011153
Ejecución 468;0.0010126
Ejecución 469;0.001
Ejecución 470;0.0028623
Ejecución 471;0.0010063
Ejecución 472;0.000389
Ejecución 473;0.0004024
Ejecución 474;0.0009983
Ejecución 475;0.0010037
Ejecución 476;0.0010068
Ejecución 477;0.0009999
Ejecución 478;0.0010077
Ejecución 479;0.0009161
Ejecución 480;0.0003992
Ejecución 481;0.0011589
Ejecución 482;0.0009972
Ejecución 483;0.0009997
Ejecución 484;0.0010443
Ejecución 485;0.0009988
Ejecución 486;0.0010059
Ejecución 487;0.0003194
Ejecución 488;0.0004207
Ejecución 489;0.001
Ejecución 490;0.0010007
Ejecución 491;0.0009995
Ejecución 492;0.0009995
Ejecución 493;0.0004582
Ejecución 494;0.0011469
Ejecución 495;0.0009991
Ejecución 496;0.0009996
Ejecución 497;0.0010002
Ejecución 498;0.0003169
Ejecución 499;0.0012181
Ejecución 500;0.0009991
Ejecución 501;0.0004199
Ejecución 502;0.0009973
Ejecución 503;0.0009999
Ejecución 504;0.0009979
Ejecución 505;0.0003641
Ejecución 506;0.0003164
Ejecución 507;0.0004089
Ejecución 508;0.0009979
Ejecución 509;0.0009997
Ejecución 510;0.0010173
Ejecución 511;0.0011115
Ejecución 512;0.0010102
Ejecución 513;0.0003256
Ejecución 514;0.0009934
Ejecución 515;0.0005924
Ejecución 516;0.0009985
Ejecución 517;0.001195
Ejecución 518;0.001
Ejecución 519;0.000408
Ejecución 520;0.0009989
Ejecución 521;0.0006719
Ejecución 522;0.0009983
Ejecución 523;0.0010053
Ejecución 524;0.001
Ejecución 525;0.0009993
Ejecución 526;0.0010101
Ejecución 527;0.0005316
Ejecución 528;0.0010563
Ejecución 529;0.0010095
Ejecución 530;0.0010078
Ejecución 531;0.0009994
Ejecución 532;0.0010001
Ejecución 533;0.0005174
Ejecución 534;0.0009999
Ejecución 535;0.0016066
Ejecución 536;0.0015779
Ejecución 537;0.0010104
Ejecución 538;0.0009994
Ejecución 539;0.0009996
Ejecución 540;0.0012395
Ejecución 541;0.0011934
Ejecución 542;0.0010104
Ejecución 543;0.0009999
Ejecución 544;0.0010038
Ejecución 545;0.0012799
Ejecución 546;0.0010099
Ejecución 547;0.0010001
Ejecución 548;0.0005392
Ejecución 549;0.0010084
Ejecución 550;0.0010284
Ejecución 551;0.0010017
Ejecución 552;0.0009991
Ejecución 553;0.001511
Ejecución 554;0.0010049
Ejecución 555;0.0010064
Ejecución 556;0.0050518
Ejecución 557;0.0012464
Ejecución 558;0.0010015
Ejecución 559;0.0010013
Ejecución 560;0.0003527
Ejecución 561;0.0009988
Ejecución 562;0.0004737
Ejecución 563;0.0010108
Ejecución 564;0.0006484
Ejecución 565;0.0004525
Ejecución 566;0.0009998
Ejecución 567;0.0003961
Ejecución 568;0.0003119
Ejecución 569;0.0010055
Ejecución 570;0.0010038
Ejecución 571;0.000991
Ejecución 572;0.0010115
Ejecución 573;0.0004192
Ejecución 574;0.00035
Ejecución 575;0.0010073
Ejecución 576;0.0010115
Ejecución 577;0.0010014
Ejecución 578;0.0012508
Ejecución 579;0.0027666
Ejecución 580;0.0006919
Ejecución 581;0.0009857
Ejecución 582;0.0047304
Ejecución 583;0.0009993
Ejecución 584;0.0010068
Ejecución 585;0.0010274
Ejecución 586;0.0010056
Ejecución 587;0.0009972
Ejecución 588;0.0008191
Ejecución 589;0.0009991
Ejecución 590;0.0010033
Ejecución 591;0.0005733
Ejecución 592;0.0010102
Ejecución 593;0.0009996
Ejecución 594;0.0010044
Ejecución 595;0.0003254
Ejecución 596;0.0010129
Ejecución 597;0.0005019
Ejecución 598;0.0009905
Ejecución 599;0.0006392
Ejecución 600;0.0009916
Ejecución 601;0.0011131
Ejecución 602;0.0004434
Ejecución 603;0.0010017
Ejecución 604;0.0010061
Ejecución 605;0.0012488
Ejecución 606;0.0009985
Ejecución 607;0.001002
Ejecución 608;0.0009919
Ejecución 609;0.0010793
Ejecución 610;0.0009913
Ejecución 611;0.0010102
Ejecución 612;0.0004711
Ejecución 613;0.0009999
Ejecución 614;0.0006076
Ejecución 615;0.0011193
Ejecución 616;0.0007245
Ejecución 617;0.0005297
Ejecución 618;0.0010092
Ejecución 619;0.0006009
Ejecución 620;0.0009277
Ejecución 621;0.0009972
Ejecución 622;0.0009758
Ejecución 623;0.0004647
Ejecución 624;0.0009996
Ejecución 625;0.000999
Ejecución 626;0.0003139
Ejecución 627;0.0010728
Ejecución 628;0.0015663
Ejecución 629;0.0009996
Ejecución 630;0.0012
Ejecución 631;0.0009995
Ejecución 632;0.0010002
Ejecución 633;0.0007071
Ejecución 634;0.0003329
Ejecución 635;0.0010014
Ejecución 636;0.001
Ejecución 637;0.0009986
Ejecución 638;0.0014457
Ejecución 639;0.0010004
Ejecución 640;0.0009989
Ejecución 641;0.0012288
