Algoritmo;Radix_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.02335s
Tiempo promedio;0.00102335s
Tiempos individuales (s):
Ejecución 382;0.0010009
Ejecución 383;0.0009999
Ejecución 384;0.0011195
Ejecución 385;0.0009999
Ejecución 386;0.0011213
Ejecución 387;0.0010042
Ejecución 388;0.001001
Ejecución 389;0.00032
Ejecución 390;0.0009981
Ejecución 391;0.005683
Ejecución 392;0.0010106
Ejecución 393;0.0009996
Ejecución 394;0.0010035
Ejecución 395;0.0004318
Ejecución 396;0.0010467
Ejecución 397;0.0010009
Ejecución 398;0.0010054
Ejecución 399;0.0051013
Ejecución 400;0.0010127
Ejecución 401;0.001
Ejecución 402;0.0009996
Ejecución 403;0.0044474
Ejecución 404;0.0003856
Ejecución 405;0.001
Ejecución 406;0.0010063
Ejecución 407;0.0003805
Ejecución 408;0.0010374
Ejecución 409;0.0010778
Ejecución 410;0.0009995
Ejecución 411;0.0009943
Ejecución 412;0.0013403
Ejecución 413;0.0009989
Ejecución 414;0.0005838
Ejecución 415;0.0009997
Ejecución 416;0.0009994
Ejecución 417;0.0012908
Ejecución 418;0.0010085
Ejecución 419;0.0008767
Ejecución 420;0.0010005
Ejecución 421;0.0010045
Ejecución 422;0.0010006
Ejecución 423;0.0011737
Ejecución 424;0.0008083
Ejecución 425;0.0010102
Ejecución 426;0.0007671
Ejecución 427;0.001
Ejecución 428;0.0009999
Ejecución 429;0.0003123
Ejecución 430;0.0009977
Ejecución 431;0.0010002
Ejecución 432;0.0009995
Ejecución 433;0.0010001
Ejecución 434;0.0003618
Ejecución 435;0.0010838
Ejecución 436;0.0009924
Ejecución 437;0.0003893
Ejecución 438;0.0009995
Ejecución 439;0.0007042
Ejecución 440;0.0009995
Ejecución 441;0.0012608
Ejecución 442;0.0010715
Ejecución 443;0.0009992
Ejecución 444;0.0010045
Ejecución 445;0.0010006
Ejecución 446;0.0009506
Ejecución 447;0.0010002
Ejecución 448;0.0009994
Ejecución 449;0.0010006
Ejecución 450;0.0010382
Ejecución 451;0.0010004
Ejecución 452;0.0006086
Ejecución 453;0.0009985
Ejecución 454;0.0009991
Ejecución 455;0.0009999
Ejecución 456;0.0003994
Ejecución 457;0.0008512
Ejecución 458;0.0012596
Ejecución 459;0.0050048
Ejecución 460;0.0009998
Ejecución 461;0.0009999
Ejecución 462;0.0006116
Ejecución 463;0.0009998
Ejecución 464;0.0013511
Ejecución 465;0.0009939
Ejecución 466;0.0009999
Ejecución 467;0.0014717
Ejecución 468;0.0006153
Ejecución 469;0.000998
Ejecución 470;0.001004
Ejecución 471;0.0010235
Ejecución 472;0.001
Ejecución 473;0.0012888
Ejecución 474;0.0004201
Ejecución 475;0.001033
Ejecución 476;0.0005933
Ejecución 477;0.000402
Ejecución 478;0.0012545
Ejecución 479;0.0009992
Ejecución 480;0.0009989
Ejecución 481;0.00101
Ejecución 482;0.001
Ejecución 483;0.000998
Ejecución 484;0.0010002
Ejecución 485;0.0003199
Ejecución 486;0.0009987
Ejecución 487;0.0009988
Ejecución 488;0.0009025
Ejecución 489;0.001007
Ejecución 490;0.0007631
Ejecución 491;0.0005315
Ejecución 492;0.0008342
Ejecución 493;0.0010065
Ejecución 494;0.0010058
Ejecución 495;0.0009997
Ejecución 496;0.0010073
Ejecución 497;0.0010007
Ejecución 498;0.0007262
Ejecución 499;0.0010012
Ejecución 500;0.0009937
Ejecución 501;0.0012838
Ejecución 502;0.0045007
Ejecución 503;0.0010011
Ejecución 504;0.0008393
Ejecución 505;0.0010525
Ejecución 506;0.000989
Ejecución 507;0.0009996
Ejecución 508;0.0009998
Ejecución 509;0.0010022
Ejecución 510;0.0010004
Ejecución 511;0.0004278
Ejecución 512;0.0011844
Ejecución 513;0.0010217
Ejecución 514;0.0009998
Ejecución 515;0.0014687
Ejecución 516;0.0005355
Ejecución 517;0.0005177
Ejecución 518;0.000539
Ejecución 519;0.001231
Ejecución 520;0.001
Ejecución 521;0.0009942
Ejecución 522;0.0014654
Ejecución 523;0.0010069
Ejecución 524;0.0009959
Ejecución 525;0.0007692
Ejecución 526;0.0009989
Ejecución 527;0.0014144
Ejecución 528;0.0010103
Ejecución 529;0.001
Ejecución 530;0.0010002
Ejecución 531;0.0012267
Ejecución 532;0.0009908
Ejecución 533;0.0009947
Ejecución 534;0.0014627
Ejecución 535;0.0010098
Ejecución 536;0.0009991
Ejecución 537;0.0010075
Ejecución 538;0.000535
Ejecución 539;0.0010384
Ejecución 540;0.0009994
Ejecución 541;0.0010805
Ejecución 542;0.0010118
Ejecución 543;0.0010006
Ejecución 544;0.0007098
Ejecución 545;0.0013852
Ejecución 546;0.0010035
Ejecución 547;0.001
Ejecución 548;0.001
Ejecución 549;0.001325
Ejecución 550;0.0009978
Ejecución 551;0.0010525
Ejecución 552;0.0003767
Ejecución 553;0.000998
Ejecución 554;0.0003179
Ejecución 555;0.0004623
Ejecución 556;0.001184
Ejecución 557;0.0010002
Ejecución 558;0.0003383
Ejecución 559;0.0005054
Ejecución 560;0.0010052
Ejecución 561;0.0010102
Ejecución 562;0.0010063
Ejecución 563;0.0010001
Ejecución 564;0.0008058
Ejecución 565;0.0010715
Ejecución 566;0.0009984
Ejecución 567;0.0009997
Ejecución 568;0.0010059
Ejecución 569;0.0012503
Ejecución 570;0.0009986
Ejecución 571;0.0010001
Ejecución 572;0.0010774
Ejecución 573;0.0009998
Ejecución 574;0.0029338
Ejecución 575;0.0010081
Ejecución 576;0.0022657
Ejecución 577;0.0010084
Ejecución 578;0.0010063
Ejecución 579;0.0009721
Ejecución 580;0.0010105
Ejecución 581;0.0042877
Ejecución 582;0.00101
Ejecución 583;0.0009999
Ejecución 584;0.001001
Ejecución 585;0.000309
Ejecución 586;0.0009991
Ejecución 587;0.0009351
Ejecución 588;0.0010001
Ejecución 589;0.0010009
Ejecución 590;0.0009989
Ejecución 591;0.0010055
Ejecución 592;0.0009955
Ejecución 593;0.0013917
Ejecución 594;0.0006549
Ejecución 595;0.0005103
Ejecución 596;0.0010033
Ejecución 597;0.0009989
Ejecución 598;0.0010202
Ejecución 599;0.001305
Ejecución 600;0.0005021
Ejecución 601;0.0010104
Ejecución 602;0.0010103
Ejecución 603;0.0010005
Ejecución 604;0.0009131
Ejecución 605;0.0004594
Ejecución 606;0.0005374
Ejecución 607;0.0009992
Ejecución 608;0.0009979
Ejecución 609;0.0009995
Ejecución 610;0.0010001
Ejecución 611;0.0010065
Ejecución 612;0.0010034
Ejecución 613;0.000996
Ejecución 614;0.001
Ejecución 615;0.0004556
Ejecución 616;0.0012525
Ejecución 617;0.0010007
Ejecución 618;0.000998
Ejecución 619;0.0004499
Ejecución 620;0.001
Ejecución 621;0.0010064
Ejecución 622;0.0009995
Ejecución 623;0.0003269
Ejecución 624;0.0010012
Ejecución 625;0.0005797
Ejecución 626;0.0010101
Ejecución 627;0.0008499
Ejecución 628;0.0009991
Ejecución 629;0.0003315
Ejecución 630;0.0017782
Ejecución 631;0.0009986
Ejecución 632;0.0009157
Ejecución 633;0.0009996
Ejecución 634;0.0003498
Ejecución 635;0.0010059
Ejecución 636;0.0009997
Ejecución 637;0.0009987
Ejecución 638;0.0013318
Ejecución 639;0.0009994
Ejecución 640;0.0013266
Ejecución 641;0.0009964
Ejecución 642;0.0010066
Ejecución 643;0.000997
Ejecución 644;0.0010073
Ejecución 645;0.0012769
Ejecución 646;0.0010041
Ejecución 647;0.0009894
Ejecución 648;0.0068162
Ejecución 649;0.0005932
Ejecución 650;0.0012882
Ejecución 651;0.0009992
Ejecución 652;0.0009999
Ejecución 653;0.000417
Ejecución 654;0.0010024
Ejecución 655;0.0010805
Ejecución 656;0.0012748
Ejecución 657;0.0009951
Ejecución 658;0.0009996
Ejecución 659;0.001
Ejecución 660;0.0013058
Ejecución 661;0.0009997
Ejecución 662;0.0009995
Ejecución 663;0.001001
Ejecución 664;0.0008624
Ejecución 665;0.0009991
Ejecución 666;0.0009986
Ejecución 667;0.0011127
Ejecución 668;0.000994
Ejecución 669;0.0006747
Ejecución 670;0.0010115
Ejecución 671;0.0004161
Ejecución 672;0.000998
Ejecución 673;0.0010001
Ejecución 674;0.0009618
Ejecución 675;0.0003119
Ejecución 676;0.0009992
Ejecución 677;0.0003096
Ejecución 678;0.0011409
Ejecución 679;0.0009984
Ejecución 680;0.001
Ejecución 681;0.0004434
Ejecución 682;0.0006736
Ejecución 683;0.0009994
Ejecución 684;0.0003268
Ejecución 685;0.001001
Ejecución 686;0.0005359
Ejecución 687;0.0009984
Ejecución 688;0.0010894
Ejecución 689;0.0009973
Ejecución 690;0.0010861
Ejecución 691;0.0009999
Ejecución 692;0.0007462
Ejecución 693;0.0004256
Ejecución 694;0.0009478
Ejecución 695;0.0010096
Ejecución 696;0.0010067
Ejecución 697;0.0003456
Ejecución 698;0.0010803
Ejecución 699;0.000999
Ejecución 700;0.001
Ejecución 701;0.0008916
Ejecución 702;0.0008164
Ejecución 703;0.0009997
Ejecución 704;0.0019699
Ejecución 705;0.0009994
Ejecución 706;0.0010007
Ejecución 707;0.0006717
Ejecución 708;0.0010189
Ejecución 709;0.0009807
Ejecución 710;0.0009932
Ejecución 711;0.0007665
Ejecución 712;0.0010851
Ejecución 713;0.0006899
Ejecución 714;0.0010065
Ejecución 715;0.0009994
Ejecución 716;0.0010901
Ejecución 717;0.0010102
Ejecución 718;0.0009995
Ejecución 719;0.0006537
Ejecución 720;0.0009994
Ejecución 721;0.0005053
Ejecución 722;0.0010127
Ejecución 723;0.0009789
Ejecución 724;0.0003998
Ejecución 725;0.0012849
Ejecución 726;0.001
Ejecución 727;0.0015161
Ejecución 728;0.0009992
Ejecución 729;0.0010001
Ejecución 730;0.0010091
Ejecución 731;0.0006703
Ejecución 732;0.0010142
Ejecución 733;0.0009992
Ejecución 734;0.0010133
Ejecución 735;0.0009995
Ejecución 736;0.0009997
Ejecución 737;0.0010021
Ejecución 738;0.0004457
Ejecución 739;0.0009893
Ejecución 740;0.0005103
Ejecución 741;0.001009
Ejecución 742;0.0009987
Ejecución 743;0.0010005
Ejecución 744;0.000935
Ejecución 745;0.0003258
Ejecución 746;0.0012778
Ejecución 747;0.0007509
Ejecución 748;0.0010116
Ejecución 749;0.0010005
Ejecución 750;0.0009989
Ejecución 751;0.0005381
Ejecución 752;0.0012766
Ejecución 753;0.0010065
Ejecución 754;0.0009948
Ejecución 755;0.0004597
Ejecución 756;0.0009932
Ejecución 757;0.0009998
Ejecución 758;0.0010003
Ejecución 759;0.0008551
Ejecución 760;0.0009986
Ejecución 761;0.0009994
Ejecución 762;0.0009998
Ejecución 763;0.0012177
Ejecución 764;0.0009994
Ejecución 765;0.0006924
Ejecución 766;0.001033
Ejecución 767;0.0046692
Ejecución 768;0.0009524
Ejecución 769;0.0009992
Ejecución 770;0.0008721
Ejecución 771;0.0010616
Ejecución 772;0.0005135
Ejecución 773;0.0010103
Ejecución 774;0.0019548
Ejecución 775;0.0004141
Ejecución 776;0.0009957
Ejecución 777;0.0009965
Ejecución 778;0.0012149
Ejecución 779;0.0009979
Ejecución 780;0.0009997
Ejecución 781;0.0009999
Ejecución 782;0.0015469
Ejecución 783;0.0012191
Ejecución 784;0.0010673
Ejecución 785;0.0010007
Ejecución 786;0.0005019
Ejecución 787;0.0009991
Ejecución 788;0.0003303
Ejecución 789;0.0064355
Ejecución 790;0.0010103
Ejecución 791;0.0010027
Ejecución 792;0.0010377
Ejecución 793;0.0015153
Ejecución 794;0.0010104
Ejecución 795;0.0003916
Ejecución 796;0.0010068
Ejecución 797;0.0009999
Ejecución 798;0.0013048
Ejecución 799;0.0009992
Ejecución 800;0.0009989
Ejecución 801;0.0009992
Ejecución 802;0.0009991
Ejecución 803;0.001021
Ejecución 804;0.00134
Ejecución 805;0.0009996
Ejecución 806;0.0009015
Ejecución 807;0.0010786
Ejecución 808;0.0009998
Ejecución 809;0.0010001
Ejecución 810;0.0010009
Ejecución 811;0.0007176
Ejecución 812;0.0009124
Ejecución 813;0.0003028
Ejecución 814;0.0010032
Ejecución 815;0.001
Ejecución 816;0.0010812
Ejecución 817;0.0010119
Ejecución 818;0.0009999
Ejecución 819;0.0003989
Ejecución 820;0.0012943
Ejecución 821;0.0044883
Ejecución 822;0.0009994
Ejecución 823;0.0009967
Ejecución 824;0.0008179
Ejecución 825;0.0020186
Ejecución 826;0.0009992
Ejecución 827;0.0010013
Ejecución 828;0.0003128
Ejecución 829;0.0020109
Ejecución 830;0.0043447
Ejecución 831;0.0010102
Ejecución 832;0.0010006
Ejecución 833;0.0012027
Ejecución 834;0.0009936
Ejecución 835;0.000802
Ejecución 836;0.0009918
Ejecución 837;0.0009994
Ejecución 838;0.000994
Ejecución 839;0.0009991
Ejecución 840;0.0003391
Ejecución 841;0.0010066
Ejecución 842;0.0012534
Ejecución 843;0.0010048
Ejecución 844;0.0007645
Ejecución 845;0.0010747
Ejecución 846;0.0007601
Ejecución 847;0.0010107
Ejecución 848;0.0010025
Ejecución 849;0.0056946
Ejecución 850;0.0009976
Ejecución 851;0.0010068
Ejecución 852;0.0004815
Ejecución 853;0.0010076
Ejecución 854;0.0004538
Ejecución 855;0.0059351
Ejecución 856;0.0012202
Ejecución 857;0.0009936
Ejecución 858;0.0010538
Ejecución 859;0.0010077
Ejecución 860;0.0010004
Ejecución 861;0.0013695
Ejecución 862;0.0010062
Ejecución 863;0.0010035
Ejecución 864;0.0010346
Ejecución 865;0.0003429
Ejecución 866;0.0009996
Ejecución 867;0.0004097
Ejecución 868;0.0009996
Ejecución 869;0.000999
Ejecución 870;0.0007101
Ejecución 871;0.0010057
Ejecución 872;0.0012805
Ejecución 873;0.0009984
Ejecución 874;0.0010048
Ejecución 875;0.001
Ejecución 876;0.0004369
Ejecución 877;0.0009984
Ejecución 878;0.0009936
Ejecución 879;0.0009997
Ejecución 880;0.0009998
Ejecución 881;0.001
Ejecución 882;0.000998
Ejecución 883;0.0010001
Ejecución 884;0.0003352
Ejecución 885;0.0011606
Ejecución 886;0.001
Ejecución 887;0.0015629
Ejecución 888;0.0010004
Ejecución 889;0.000711
Ejecución 890;0.0010071
Ejecución 891;0.0013726
Ejecución 892;0.001
Ejecución 893;0.0010645
Ejecución 894;0.0012717
Ejecución 895;0.0010065
Ejecución 896;0.0003582
Ejecución 897;0.0010068
Ejecución 898;0.0003799
Ejecución 899;0.0010152
Ejecución 900;0.0003403
Ejecución 901;0.0009994
Ejecución 902;0.0010001
Ejecución 903;0.0010001
Ejecución 904;0.0013895
Ejecución 905;0.001
Ejecución 906;0.0009706
Ejecución 907;0.0010038
Ejecución 908;0.0010001
Ejecución 909;0.0010058
Ejecución 910;0.0011825
Ejecución 911;0.0012844
Ejecución 912;0.000562
Ejecución 913;0.000999
Ejecución 914;0.0010001
Ejecución 915;0.0010064
Ejecución 916;0.0009999
Ejecución 917;0.0004392
Ejecución 918;0.0009994
Ejecución 919;0.0009724
Ejecución 920;0.0009979
Ejecución 921;0.000416
Ejecución 922;0.0010092
Ejecución 923;0.0009994
Ejecución 924;0.0010266
Ejecución 925;0.0009998
Ejecución 926;0.0009999
Ejecución 927;0.001
Ejecución 928;0.0013024
Ejecución 929;0.000874
Ejecución 930;0.0010066
Ejecución 931;0.0009996
Ejecución 932;0.0009934
Ejecución 933;0.0009992
Ejecución 934;0.0010063
Ejecución 935;0.0010075
Ejecución 936;0.0003072
Ejecución 937;0.0012132
Ejecución 938;0.0010067
Ejecución 939;0.0009997
Ejecución 940;0.0012747
Ejecución 941;0.000641
Ejecución 942;0.0009982
Ejecución 943;0.001
Ejecución 944;0.0010257
Ejecución 945;0.0008338
Ejecución 946;0.0009979
Ejecución 947;0.0009984
Ejecución 948;0.0010062
Ejecución 949;0.0009278
Ejecución 950;0.0044144
Ejecución 951;0.0010484
