Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 292;0.0013986
Ejecución 293;0.0009983
Ejecución 294;0.0010363
Ejecución 295;0.0010729
Ejecución 296;0.0010004
Ejecución 297;0.0014371
Ejecución 298;0.0009996
Ejecución 299;0.0009999
Ejecución 300;0.0009996
Ejecución 301;0.0003203
Ejecución 302;0.00101
Ejecución 303;0.001
Ejecución 304;0.000855
Ejecución 305;0.0010008
Ejecución 306;0.0009986
Ejecución 307;0.0009912
Ejecución 308;0.001
Ejecución 309;0.0004028
Ejecución 310;0.0009938
Ejecución 311;0.0009997
Ejecución 312;0.0006673
Ejecución 313;0.0009989
Ejecución 314;0.0010061
Ejecución 315;0.0010001
Ejecución 316;0.0003093
Ejecución 317;0.001178
Ejecución 318;0.0009999
Ejecución 319;0.0003734
Ejecución 320;0.0009991
Ejecución 321;0.0010013
Ejecución 322;0.0011928
Ejecución 323;0.0010097
Ejecución 324;0.0014151
Ejecución 325;0.0009996
Ejecución 326;0.001
Ejecución 327;0.0010033
Ejecución 328;0.0008256
Ejecución 329;0.0009999
Ejecución 330;0.0007154
Ejecución 331;0.0009998
Ejecución 332;0.0010037
Ejecución 333;0.0012864
Ejecución 334;0.0009988
Ejecución 335;0.0013112
Ejecución 336;0.0010104
Ejecución 337;0.0009999
Ejecución 338;0.001
Ejecución 339;0.0012013
Ejecución 340;0.0010662
Ejecución 341;0.0009927
Ejecución 342;0.0010066
Ejecución 343;0.0009985
Ejecución 344;0.0010102
Ejecución 345;0.0010043
Ejecución 346;0.0010007
Ejecución 347;0.0006134
Ejecución 348;0.0010043
Ejecución 349;0.0010062
Ejecución 350;0.0010103
Ejecución 351;0.0010145
Ejecución 352;0.0010005
Ejecución 353;0.001002
Ejecución 354;0.0009996
Ejecución 355;0.0003666
Ejecución 356;0.0009986
Ejecución 357;0.0015515
Ejecución 358;0.0010061
Ejecución 359;0.0010464
Ejecución 360;0.0009997
Ejecución 361;0.0009986
Ejecución 362;0.0012844
Ejecución 363;0.0010101
Ejecución 364;0.0009998
Ejecución 365;0.001
Ejecución 366;0.0011861
Ejecución 367;0.0008279
Ejecución 368;0.0010008
Ejecución 369;0.0005444
Ejecución 370;0.0010069
Ejecución 371;0.0003664
Ejecución 372;0.0009986
Ejecución 373;0.00063
Ejecución 374;0.0010104
Ejecución 375;0.0009103
