Algoritmo;Insertion_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.9540453s
Tiempo promedio;0.0169540s
Tiempos individuales (s):
Ejecución 359;0.0172061
Ejecución 360;0.0171823
Ejecución 361;0.0172836
Ejecución 362;0.0171932
Ejecución 363;0.0172379
Ejecución 364;0.0171643
Ejecución 365;0.0172442
Ejecución 366;0.0171834
Ejecución 367;0.0172553
Ejecución 368;0.0173654
Ejecución 369;0.0173699
Ejecución 370;0.0172712
Ejecución 371;0.0171892
Ejecución 372;0.0172594
Ejecución 373;0.0172816
Ejecución 374;0.0172220
Ejecución 375;0.0176380
Ejecución 376;0.0170219
Ejecución 377;0.0172989
Ejecución 378;0.0172281
Ejecución 379;0.0171238
Ejecución 380;0.0172473
Ejecución 381;0.0172769
Ejecución 382;0.0172665
Ejecución 383;0.0172356
Ejecución 384;0.0172028
Ejecución 385;0.0174129
Ejecución 386;0.0171866
Ejecución 387;0.0172691
Ejecución 388;0.0172928
Ejecución 389;0.0172370
Ejecución 390;0.0172224
Ejecución 391;0.0171705
Ejecución 392;0.0171782
Ejecución 393;0.0172207
Ejecución 394;0.0172381
Ejecución 395;0.0174061
Ejecución 396;0.0172772
Ejecución 397;0.0172041
Ejecución 398;0.0173809
Ejecución 399;0.0173469
Ejecución 400;0.0172014
Ejecución 401;0.0173094
Ejecución 402;0.0172393
Ejecución 403;0.0172598
Ejecución 404;0.0172091
Ejecución 405;0.0172365
Ejecución 406;0.0172124
Ejecución 407;0.0172842
Ejecución 408;0.0171440
Ejecución 409;0.0173352
Ejecución 410;0.0172924
Ejecución 411;0.0172577
Ejecución 412;0.0172327
Ejecución 413;0.0172064
Ejecución 414;0.0171982
Ejecución 415;0.0175401
Ejecución 416;0.0172139
Ejecución 417;0.0172202
Ejecución 418;0.0173149
Ejecución 419;0.0172540
Ejecución 420;0.0173090
Ejecución 421;0.0172428
Ejecución 422;0.0172589
Ejecución 423;0.0172454
Ejecución 424;0.0172871
Ejecución 425;0.0172291
Ejecución 426;0.0173396
Ejecución 427;0.0172936
Ejecución 428;0.0172480
Ejecución 429;0.0173128
Ejecución 430;0.0172730
Ejecución 431;0.0172921
Ejecución 432;0.0178039
Ejecución 433;0.0172860
Ejecución 434;0.0176963
Ejecución 435;0.0169225
Ejecución 436;0.0172557
Ejecución 437;0.0174148
Ejecución 438;0.0171213
Ejecución 439;0.0154629
Ejecución 440;0.0154536
Ejecución 441;0.0155541
Ejecución 442;0.0154275
Ejecución 443;0.0155015
Ejecución 444;0.0157775
Ejecución 445;0.0158726
Ejecución 446;0.0169129
Ejecución 447;0.0171931
Ejecución 448;0.0172633
Ejecución 449;0.0172211
Ejecución 450;0.0174974
Ejecución 451;0.0173980
Ejecución 452;0.0175541
Ejecución 453;0.0175152
Ejecución 454;0.0175932
Ejecución 455;0.0177277
Ejecución 456;0.0175988
Ejecución 457;0.0175266
Ejecución 458;0.0187983
Ejecución 459;0.0176537
Ejecución 460;0.0177210
Ejecución 461;0.0177194
Ejecución 462;0.0176696
Ejecución 463;0.0176512
Ejecución 464;0.0176351
Ejecución 465;0.0176308
Ejecución 466;0.0176514
Ejecución 467;0.0177714
Ejecución 468;0.0176859
Ejecución 469;0.0178379
Ejecución 470;0.0176802
Ejecución 471;0.0177189
Ejecución 472;0.0176977
Ejecución 473;0.0176697
Ejecución 474;0.0176700
Ejecución 475;0.0176080
Ejecución 476;0.0176889
Ejecución 477;0.0176328
Ejecución 478;0.0176717
Ejecución 479;0.0176737
Ejecución 480;0.0176795
Ejecución 481;0.0176415
Ejecución 482;0.0176115
Ejecución 483;0.0176431
Ejecución 484;0.0176721
Ejecución 485;0.0175882
Ejecución 486;0.0176236
Ejecución 487;0.0176596
Ejecución 488;0.0177262
Ejecución 489;0.0176100
Ejecución 490;0.0176605
Ejecución 491;0.0176843
Ejecución 492;0.0176806
Ejecución 493;0.0176586
Ejecución 494;0.0177154
Ejecución 495;0.0176634
Ejecución 496;0.0176803
Ejecución 497;0.0176772
Ejecución 498;0.0175093
Ejecución 499;0.0176505
Ejecución 500;0.0163851
Ejecución 501;0.0172522
Ejecución 502;0.0171416
Ejecución 503;0.0171351
Ejecución 504;0.0172195
Ejecución 505;0.0171944
Ejecución 506;0.0172296
Ejecución 507;0.0171023
Ejecución 508;0.0172937
Ejecución 509;0.0172240
Ejecución 510;0.0172274
Ejecución 511;0.0173179
Ejecución 512;0.0172964
Ejecución 513;0.0172149
Ejecución 514;0.0169667
Ejecución 515;0.0156482
Ejecución 516;0.0163470
Ejecución 517;0.0158674
Ejecución 518;0.0156864
Ejecución 519;0.0155946
Ejecución 520;0.0157029
Ejecución 521;0.0157254
Ejecución 522;0.0157943
Ejecución 523;0.0158011
Ejecución 524;0.0157926
Ejecución 525;0.0158731
Ejecución 526;0.0159299
Ejecución 527;0.0158023
Ejecución 528;0.0161390
Ejecución 529;0.0158143
Ejecución 530;0.0159810
Ejecución 531;0.0158591
Ejecución 532;0.0159610
Ejecución 533;0.0168897
Ejecución 534;0.0159085
Ejecución 535;0.0159023
Ejecución 536;0.0160681
Ejecución 537;0.0159504
Ejecución 538;0.0158902
Ejecución 539;0.0159642
Ejecución 540;0.0158925
Ejecución 541;0.0159228
Ejecución 542;0.0159356
Ejecución 543;0.0160127
Ejecución 544;0.0159602
Ejecución 545;0.0161273
Ejecución 546;0.0156383
Ejecución 547;0.0165917
Ejecución 548;0.0168907
Ejecución 549;0.0171794
Ejecución 550;0.0156313
Ejecución 551;0.0156340
Ejecución 552;0.0157214
Ejecución 553;0.0163763
Ejecución 554;0.0166496
Ejecución 555;0.0157501
Ejecución 556;0.0158159
Ejecución 557;0.0157926
Ejecución 558;0.0159220
Ejecución 559;0.0158563
Ejecución 560;0.0160405
