Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 295;0.0008308
Ejecución 296;0.0008127
Ejecución 297;0.0008228
Ejecución 298;0.0008345
Ejecución 299;0.0008350
Ejecución 300;0.0008451
Ejecución 301;0.0008308
Ejecución 302;0.0008317
Ejecución 303;0.0008322
Ejecución 304;0.0008145
Ejecución 305;0.0008109
Ejecución 306;0.0008132
Ejecución 307;0.0008108
Ejecución 308;0.0008176
Ejecución 309;0.0008114
Ejecución 310;0.0008095
Ejecución 311;0.0008263
Ejecución 312;0.0008167
Ejecución 313;0.0008468
Ejecución 314;0.0008368
Ejecución 315;0.0008349
Ejecución 316;0.0008305
Ejecución 317;0.0008290
Ejecución 318;0.0008369
Ejecución 319;0.0008276
Ejecución 320;0.0008330
Ejecución 321;0.0008412
Ejecución 322;0.0008328
Ejecución 323;0.0008314
Ejecución 324;0.0008341
Ejecución 325;0.0008315
Ejecución 326;0.0008229
Ejecución 327;0.0008305
Ejecución 328;0.0011779
Ejecución 329;0.0014872
Ejecución 330;0.0010891
Ejecución 331;0.0009225
Ejecución 332;0.0009051
Ejecución 333;0.0008392
Ejecución 334;0.0008108
Ejecución 335;0.0008112
Ejecución 336;0.0008179
Ejecución 337;0.0008276
Ejecución 338;0.0008296
Ejecución 339;0.0008452
Ejecución 340;0.0008206
Ejecución 341;0.0009242
Ejecución 342;0.0008133
Ejecución 343;0.0008187
Ejecución 344;0.0008306
Ejecución 345;0.0008306
Ejecución 346;0.0008486
Ejecución 347;0.0008283
Ejecución 348;0.0009195
Ejecución 349;0.0008257
Ejecución 350;0.0008352
Ejecución 351;0.0008229
Ejecución 352;0.0008390
Ejecución 353;0.0008328
Ejecución 354;0.0008270
Ejecución 355;0.0008386
Ejecución 356;0.0008594
Ejecución 357;0.0008375
Ejecución 358;0.0008466
Ejecución 359;0.0008345
Ejecución 360;0.0008293
Ejecución 361;0.0008351
Ejecución 362;0.0008367
Ejecución 363;0.0008355
Ejecución 364;0.0008498
Ejecución 365;0.0008424
Ejecución 366;0.0008288
Ejecución 367;0.0008536
Ejecución 368;0.0008122
Ejecución 369;0.0008379
Ejecución 370;0.0008759
Ejecución 371;0.0008261
Ejecución 372;0.0008239
Ejecución 373;0.0008217
Ejecución 374;0.0008231
Ejecución 375;0.0008367
Ejecución 376;0.0008372
Ejecución 377;0.0008138
Ejecución 378;0.0008391
Ejecución 379;0.0008308
Ejecución 380;0.0008439
Ejecución 381;0.0008290
Ejecución 382;0.0008369
Ejecución 383;0.0008279
Ejecución 384;0.0008611
Ejecución 385;0.0008384
Ejecución 386;0.0008425
Ejecución 387;0.0008220
Ejecución 388;0.0008272
Ejecución 389;0.0008325
Ejecución 390;0.0008194
Ejecución 391;0.0008162
Ejecución 392;0.0008081
Ejecución 393;0.0008307
Ejecución 394;0.0008290
Ejecución 395;0.0008404
Ejecución 396;0.0008346
Ejecución 397;0.0008401
Ejecución 398;0.0008224
Ejecución 399;0.0008300
Ejecución 400;0.0008337
Ejecución 401;0.0008507
Ejecución 402;0.0008292
Ejecución 403;0.0008332
Ejecución 404;0.0008289
Ejecución 405;0.0008282
Ejecución 406;0.0008348
Ejecución 407;0.0008343
Ejecución 408;0.0008415
Ejecución 409;0.0008228
Ejecución 410;0.0008444
Ejecución 411;0.0008149
Ejecución 412;0.0008341
Ejecución 413;0.0008288
Ejecución 414;0.0008313
Ejecución 415;0.0008403
Ejecución 416;0.0013915
Ejecución 417;0.0008401
Ejecución 418;0.0008522
Ejecución 419;0.0008443
Ejecución 420;0.0008485
Ejecución 421;0.0008349
Ejecución 422;0.0008389
Ejecución 423;0.0008582
Ejecución 424;0.0008630
Ejecución 425;0.0008346
Ejecución 426;0.0008192
Ejecución 427;0.0008267
Ejecución 428;0.0008469
Ejecución 429;0.0008429
Ejecución 430;0.0008743
Ejecución 431;0.0008780
Ejecución 432;0.0008694
Ejecución 433;0.0008746
Ejecución 434;0.0008716
Ejecución 435;0.0008742
Ejecución 436;0.0008621
Ejecución 437;0.0008670
Ejecución 438;0.0008741
Ejecución 439;0.0008645
Ejecución 440;0.0008740
Ejecución 441;0.0008773
Ejecución 442;0.0008734
Ejecución 443;0.0008675
Ejecución 444;0.0009090
Ejecución 445;0.0008657
Ejecución 446;0.0008889
Ejecución 447;0.0008679
Ejecución 448;0.0008686
Ejecución 449;0.0008164
Ejecución 450;0.0008131
Ejecución 451;0.0008493
Ejecución 452;0.0007928
Ejecución 453;0.0008049
Ejecución 454;0.0007933
Ejecución 455;0.0008339
Ejecución 456;0.0008251
Ejecución 457;0.0008409
Ejecución 458;0.0008426
Ejecución 459;0.0008566
Ejecución 460;0.0008398
Ejecución 461;0.0008023
Ejecución 462;0.0008122
Ejecución 463;0.0008151
Ejecución 464;0.0008258
Ejecución 465;0.0008288
Ejecución 466;0.0008390
Ejecución 467;0.0008318
Ejecución 468;0.0008514
Ejecución 469;0.0008403
Ejecución 470;0.0008349
Ejecución 471;0.0008631
Ejecución 472;0.0008321
Ejecución 473;0.0008874
Ejecución 474;0.0008248
Ejecución 475;0.0008471
Ejecución 476;0.0008372
Ejecución 477;0.0008196
Ejecución 478;0.0008218
Ejecución 479;0.0008162
Ejecución 480;0.0008435
Ejecución 481;0.0008393
Ejecución 482;0.0008333
Ejecución 483;0.0008375
Ejecución 484;0.0008291
Ejecución 485;0.0008376
Ejecución 486;0.0008423
Ejecución 487;0.0008485
Ejecución 488;0.0008694
Ejecución 489;0.0009674
