Algoritmo;Insertion_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;20.0606536s
Tiempo promedio;0.0200607s
Tiempos individuales (s):
Ejecución 432;0.0188462
Ejecución 433;0.0190891
Ejecución 434;0.0188506
Ejecución 435;0.0188432
Ejecución 436;0.0188465
Ejecución 437;0.0188599
Ejecución 438;0.0188370
Ejecución 439;0.0190773
Ejecución 440;0.0188802
Ejecución 441;0.0188496
Ejecución 442;0.0188834
Ejecución 443;0.0192670
Ejecución 444;0.0190511
Ejecución 445;0.0192112
Ejecución 446;0.0195022
Ejecución 447;0.0190946
Ejecución 448;0.0190942
Ejecución 449;0.0190177
Ejecución 450;0.0192010
Ejecución 451;0.0189306
Ejecución 452;0.0191791
Ejecución 453;0.0189364
Ejecución 454;0.0189627
Ejecución 455;0.0190710
Ejecución 456;0.0189640
Ejecución 457;0.0189484
Ejecución 458;0.0189893
Ejecución 459;0.0189635
Ejecución 460;0.0191139
Ejecución 461;0.0190566
Ejecución 462;0.0191006
Ejecución 463;0.0190053
Ejecución 464;0.0189930
Ejecución 465;0.0189965
Ejecución 466;0.0190753
Ejecución 467;0.0189598
Ejecución 468;0.0192771
Ejecución 469;0.0190121
Ejecución 470;0.0190318
Ejecución 471;0.0189885
Ejecución 472;0.0190001
Ejecución 473;0.0192545
Ejecución 474;0.0189828
Ejecución 475;0.0198720
Ejecución 476;0.0195284
Ejecución 477;0.0189689
Ejecución 478;0.0191170
Ejecución 479;0.0190609
Ejecución 480;0.0189609
Ejecución 481;0.0191897
Ejecución 482;0.0188948
Ejecución 483;0.0190151
Ejecución 484;0.0190292
Ejecución 485;0.0190755
Ejecución 486;0.0190090
Ejecución 487;0.0190058
Ejecución 488;0.0191897
Ejecución 489;0.0190885
Ejecución 490;0.0189940
Ejecución 491;0.0221926
Ejecución 492;0.0190901
Ejecución 493;0.0200698
Ejecución 494;0.0204106
Ejecución 495;0.0206507
Ejecución 496;0.0206829
Ejecución 497;0.0206380
Ejecución 498;0.0221083
Ejecución 499;0.0208527
Ejecución 500;0.0209185
Ejecución 501;0.0208216
Ejecución 502;0.0209500
Ejecución 503;0.0210175
Ejecución 504;0.0218130
Ejecución 505;0.0209412
Ejecución 506;0.0209143
Ejecución 507;0.0210531
Ejecución 508;0.0209798
Ejecución 509;0.0209485
Ejecución 510;0.0210178
Ejecución 511;0.0208715
Ejecución 512;0.0212486
Ejecución 513;0.0210314
Ejecución 514;0.0209470
Ejecución 515;0.0209209
Ejecución 516;0.0209953
Ejecución 517;0.0211966
Ejecución 518;0.0209729
Ejecución 519;0.0210049
Ejecución 520;0.0209888
Ejecución 521;0.0209309
Ejecución 522;0.0211111
Ejecución 523;0.0210238
Ejecución 524;0.0215820
Ejecución 525;0.0212838
Ejecución 526;0.0208792
Ejecución 527;0.0209845
Ejecución 528;0.0209997
Ejecución 529;0.0209698
Ejecución 530;0.0209705
Ejecución 531;0.0210929
Ejecución 532;0.0209719
Ejecución 533;0.0209172
Ejecución 534;0.0209121
Ejecución 535;0.0209515
Ejecución 536;0.0210917
Ejecución 537;0.0210698
Ejecución 538;0.0209786
Ejecución 539;0.0213362
Ejecución 540;0.0195779
Ejecución 541;0.0224881
Ejecución 542;0.0212227
Ejecución 543;0.0211501
Ejecución 544;0.0212407
Ejecución 545;0.0213842
Ejecución 546;0.0212417
Ejecución 547;0.0212410
Ejecución 548;0.0212553
Ejecución 549;0.0212775
Ejecución 550;0.0215456
Ejecución 551;0.0214333
Ejecución 552;0.0212745
Ejecución 553;0.0212108
Ejecución 554;0.0212358
Ejecución 555;0.0212955
Ejecución 556;0.0212926
Ejecución 557;0.0213981
Ejecución 558;0.0212786
Ejecución 559;0.0214141
Ejecución 560;0.0214368
Ejecución 561;0.0213827
Ejecución 562;0.0213518
Ejecución 563;0.0215833
Ejecución 564;0.0212526
Ejecución 565;0.0214050
Ejecución 566;0.0213492
Ejecución 567;0.0212147
Ejecución 568;0.0214686
Ejecución 569;0.0214180
Ejecución 570;0.0213441
Ejecución 571;0.0214608
Ejecución 572;0.0217318
Ejecución 573;0.0216488
Ejecución 574;0.0213482
Ejecución 575;0.0213037
Ejecución 576;0.0214028
Ejecución 577;0.0213618
Ejecución 578;0.0214964
Ejecución 579;0.0213526
Ejecución 580;0.0214393
Ejecución 581;0.0212476
Ejecución 582;0.0213953
Ejecución 583;0.0213443
Ejecución 584;0.0213899
Ejecución 585;0.0212956
Ejecución 586;0.0213346
Ejecución 587;0.0214065
Ejecución 588;0.0215611
Ejecución 589;0.0213012
Ejecución 590;0.0214195
Ejecución 591;0.0215259
Ejecución 592;0.0212482
Ejecución 593;0.0214018
Ejecución 594;0.0213844
Ejecución 595;0.0213750
Ejecución 596;0.0214296
Ejecución 597;0.0216840
Ejecución 598;0.0215031
Ejecución 599;0.0214981
Ejecución 600;0.0214379
Ejecución 601;0.0215668
Ejecución 602;0.0236178
Ejecución 603;0.0186393
Ejecución 604;0.0186171
Ejecución 605;0.0186936
Ejecución 606;0.0187267
Ejecución 607;0.0195623
Ejecución 608;0.0186677
Ejecución 609;0.0187356
Ejecución 610;0.0188065
Ejecución 611;0.0189149
Ejecución 612;0.0190662
Ejecución 613;0.0192817
Ejecución 614;0.0189784
Ejecución 615;0.0190361
Ejecución 616;0.0189564
Ejecución 617;0.0189954
Ejecución 618;0.0189683
Ejecución 619;0.0190018
Ejecución 620;0.0189641
Ejecución 621;0.0201815
Ejecución 622;0.0194585
Ejecución 623;0.0189302
Ejecución 624;0.0190310
Ejecución 625;0.0190247
Ejecución 626;0.0190899
Ejecución 627;0.0190507
Ejecución 628;0.0191837
Ejecución 629;0.0190729
Ejecución 630;0.0190866
Ejecución 631;0.0191533
Ejecución 632;0.0189941
Ejecución 633;0.0190419
Ejecución 634;0.0190743
Ejecución 635;0.0189973
Ejecución 636;0.0191097
Ejecución 637;0.0190392
Ejecución 638;0.0193121
Ejecución 639;0.0191207
Ejecución 640;0.0197446
Ejecución 641;0.0190656
Ejecución 642;0.0192209
Ejecución 643;0.0190350
Ejecución 644;0.0190759
Ejecución 645;0.0190460
Ejecución 646;0.0190974
Ejecución 647;0.0189921
Ejecución 648;0.0190909
Ejecución 649;0.0190846
Ejecución 650;0.0191688
Ejecución 651;0.0200366
Ejecución 652;0.0195691
Ejecución 653;0.0191076
Ejecución 654;0.0192800
Ejecución 655;0.0190533
Ejecución 656;0.0190517
Ejecución 657;0.0190609
Ejecución 658;0.0190353
Ejecución 659;0.0190739
Ejecución 660;0.0190616
Ejecución 661;0.0191275
Ejecución 662;0.0191111
Ejecución 663;0.0192640
Ejecución 664;0.0190495
Ejecución 665;0.0190419
Ejecución 666;0.0190952
Ejecución 667;0.0198851
Ejecución 668;0.0192759
Ejecución 669;0.0197857
Ejecución 670;0.0204313
Ejecución 671;0.0205300
Ejecución 672;0.0208024
Ejecución 673;0.0187438
Ejecución 674;0.0190096
Ejecución 675;0.0200161
Ejecución 676;0.0185939
Ejecución 677;0.0187928
Ejecución 678;0.0189422
Ejecución 679;0.0188834
Ejecución 680;0.0189664
Ejecución 681;0.0189787
Ejecución 682;0.0190602
Ejecución 683;0.0191033
Ejecución 684;0.0190230
Ejecución 685;0.0190561
Ejecución 686;0.0191074
Ejecución 687;0.0190932
