Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 312;0.0011442
Ejecución 313;0.0010731
Ejecución 314;0.0010778
Ejecución 315;0.0010746
Ejecución 316;0.0010742
Ejecución 317;0.0010708
Ejecución 318;0.0010785
Ejecución 319;0.0010793
Ejecución 320;0.0011060
Ejecución 321;0.0010854
Ejecución 322;0.0011247
Ejecución 323;0.0010807
Ejecución 324;0.0011475
Ejecución 325;0.0010796
Ejecución 326;0.0010742
Ejecución 327;0.0010757
Ejecución 328;0.0011125
Ejecución 329;0.0010728
Ejecución 330;0.0010775
Ejecución 331;0.0010770
Ejecución 332;0.0010835
Ejecución 333;0.0010726
Ejecución 334;0.0010955
Ejecución 335;0.0011380
Ejecución 336;0.0010863
Ejecución 337;0.0010675
Ejecución 338;0.0010729
Ejecución 339;0.0010687
Ejecución 340;0.0010789
Ejecución 341;0.0010745
Ejecución 342;0.0010771
Ejecución 343;0.0010932
Ejecución 344;0.0010769
Ejecución 345;0.0010977
Ejecución 346;0.0010775
Ejecución 347;0.0010785
Ejecución 348;0.0010866
Ejecución 349;0.0010893
Ejecución 350;0.0010789
Ejecución 351;0.0010785
Ejecución 352;0.0010742
Ejecución 353;0.0010738
Ejecución 354;0.0010747
Ejecución 355;0.0010766
Ejecución 356;0.0010720
Ejecución 357;0.0010954
Ejecución 358;0.0010831
Ejecución 359;0.0011252
Ejecución 360;0.0011853
Ejecución 361;0.0010986
Ejecución 362;0.0010740
Ejecución 363;0.0010598
Ejecución 364;0.0010718
Ejecución 365;0.0010987
Ejecución 366;0.0010962
Ejecución 367;0.0010921
Ejecución 368;0.0011033
Ejecución 369;0.0010704
Ejecución 370;0.0010899
Ejecución 371;0.0010768
Ejecución 372;0.0011055
Ejecución 373;0.0010906
Ejecución 374;0.0010776
Ejecución 375;0.0010742
Ejecución 376;0.0010763
Ejecución 377;0.0010833
Ejecución 378;0.0010904
Ejecución 379;0.0010614
Ejecución 380;0.0010852
Ejecución 381;0.0010883
Ejecución 382;0.0010612
Ejecución 383;0.0010790
Ejecución 384;0.0010833
Ejecución 385;0.0010631
Ejecución 386;0.0010795
Ejecución 387;0.0010886
Ejecución 388;0.0010697
Ejecución 389;0.0011085
Ejecución 390;0.0011077
Ejecución 391;0.0010610
Ejecución 392;0.0010762
Ejecución 393;0.0010852
Ejecución 394;0.0010737
Ejecución 395;0.0012156
Ejecución 396;0.0012424
Ejecución 397;0.0010620
Ejecución 398;0.0010319
Ejecución 399;0.0010090
Ejecución 400;0.0010118
Ejecución 401;0.0009997
Ejecución 402;0.0010034
Ejecución 403;0.0010175
Ejecución 404;0.0010191
Ejecución 405;0.0010167
Ejecución 406;0.0010185
Ejecución 407;0.0010039
Ejecución 408;0.0010611
Ejecución 409;0.0009984
Ejecución 410;0.0010158
Ejecución 411;0.0010026
Ejecución 412;0.0010121
Ejecución 413;0.0010153
Ejecución 414;0.0010024
Ejecución 415;0.0010074
Ejecución 416;0.0010045
Ejecución 417;0.0010124
Ejecución 418;0.0010047
Ejecución 419;0.0010002
Ejecución 420;0.0010050
Ejecución 421;0.0011036
Ejecución 422;0.0010044
Ejecución 423;0.0010071
Ejecución 424;0.0010048
Ejecución 425;0.0010102
Ejecución 426;0.0010064
Ejecución 427;0.0010004
Ejecución 428;0.0010201
Ejecución 429;0.0010323
Ejecución 430;0.0010016
Ejecución 431;0.0010086
Ejecución 432;0.0009982
Ejecución 433;0.0010084
Ejecución 434;0.0010788
Ejecución 435;0.0010111
Ejecución 436;0.0010022
Ejecución 437;0.0010004
Ejecución 438;0.0010230
Ejecución 439;0.0010106
Ejecución 440;0.0010021
Ejecución 441;0.0010046
Ejecución 442;0.0009967
Ejecución 443;0.0010271
Ejecución 444;0.0010008
Ejecución 445;0.0010023
Ejecución 446;0.0010342
Ejecución 447;0.0010867
Ejecución 448;0.0010894
Ejecución 449;0.0010483
Ejecución 450;0.0010480
Ejecución 451;0.0010198
Ejecución 452;0.0010348
Ejecución 453;0.0010395
Ejecución 454;0.0010290
Ejecución 455;0.0010054
Ejecución 456;0.0010052
Ejecución 457;0.0010082
Ejecución 458;0.0010221
Ejecución 459;0.0011307
Ejecución 460;0.0010067
Ejecución 461;0.0010074
Ejecución 462;0.0010345
Ejecución 463;0.0010074
Ejecución 464;0.0010120
Ejecución 465;0.0010009
Ejecución 466;0.0010046
Ejecución 467;0.0010039
Ejecución 468;0.0010060
Ejecución 469;0.0010147
Ejecución 470;0.0010019
Ejecución 471;0.0010350
Ejecución 472;0.0010436
Ejecución 473;0.0010086
Ejecución 474;0.0009998
Ejecución 475;0.0009980
Ejecución 476;0.0010126
Ejecución 477;0.0009985
Ejecución 478;0.0010126
Ejecución 479;0.0010375
Ejecución 480;0.0010052
Ejecución 481;0.0010013
Ejecución 482;0.0010534
Ejecución 483;0.0009915
Ejecución 484;0.0010109
Ejecución 485;0.0010180
Ejecución 486;0.0010084
Ejecución 487;0.0010418
Ejecución 488;0.0010127
Ejecución 489;0.0010019
Ejecución 490;0.0010071
Ejecución 491;0.0010027
Ejecución 492;0.0010057
Ejecución 493;0.0010140
Ejecución 494;0.0010055
Ejecución 495;0.0010354
Ejecución 496;0.0010060
Ejecución 497;0.0010604
Ejecución 498;0.0010447
Ejecución 499;0.0010025
Ejecución 500;0.0010177
Ejecución 501;0.0010022
Ejecución 502;0.0010146
Ejecución 503;0.0010108
Ejecución 504;0.0010093
Ejecución 505;0.0010052
Ejecución 506;0.0010030
Ejecución 507;0.0010052
Ejecución 508;0.0010111
Ejecución 509;0.0009962
Ejecución 510;0.0010301
Ejecución 511;0.0010348
Ejecución 512;0.0010032
Ejecución 513;0.0010044
Ejecución 514;0.0010011
Ejecución 515;0.0010054
Ejecución 516;0.0010022
Ejecución 517;0.0010002
Ejecución 518;0.0010090
Ejecución 519;0.0010048
Ejecución 520;0.0010056
Ejecución 521;0.0010268
Ejecución 522;0.0009998
Ejecución 523;0.0010133
Ejecución 524;0.0009962
Ejecución 525;0.0010038
Ejecución 526;0.0010216
Ejecución 527;0.0010233
Ejecución 528;0.0010133
Ejecución 529;0.0010191
Ejecución 530;0.0010031
Ejecución 531;0.0010211
Ejecución 532;0.0010092
Ejecución 533;0.0010152
Ejecución 534;0.0010073
Ejecución 535;0.0010857
Ejecución 536;0.0011130
Ejecución 537;0.0010305
Ejecución 538;0.0010080
Ejecución 539;0.0010005
Ejecución 540;0.0009953
Ejecución 541;0.0010034
Ejecución 542;0.0010061
Ejecución 543;0.0010099
Ejecución 544;0.0010031
Ejecución 545;0.0010335
Ejecución 546;0.0010017
Ejecución 547;0.0010054
Ejecución 548;0.0010027
Ejecución 549;0.0010008
Ejecución 550;0.0010071
Ejecución 551;0.0009933
Ejecución 552;0.0010086
Ejecución 553;0.0010243
Ejecución 554;0.0010119
Ejecución 555;0.0010060
Ejecución 556;0.0010039
Ejecución 557;0.0009997
Ejecución 558;0.0010094
Ejecución 559;0.0009987
Ejecución 560;0.0010949
Ejecución 561;0.0010362
Ejecución 562;0.0010047
Ejecución 563;0.0009965
Ejecución 564;0.0010035
Ejecución 565;0.0010092
Ejecución 566;0.0010047
Ejecución 567;0.0010053
Ejecución 568;0.0010004
Ejecución 569;0.0010233
Ejecución 570;0.0010534
Ejecución 571;0.0010182
Ejecución 572;0.0010229
Ejecución 573;0.0010198
Ejecución 574;0.0010175
Ejecución 575;0.0010276
Ejecución 576;0.0010166
Ejecución 577;0.0010269
Ejecución 578;0.0010303
Ejecución 579;0.0010280
Ejecución 580;0.0010212
Ejecución 581;0.0010486
Ejecución 582;0.0010171
Ejecución 583;0.0010178
Ejecución 584;0.0010186
