Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.1632408s
Tiempo promedio;0.0161632s
Tiempos individuales (s):
Ejecución 783;0.0167827
Ejecución 784;0.0170294
Ejecución 785;0.0175606
Ejecución 786;0.0172856
Ejecución 787;0.0178936
Ejecución 788;0.0169851
Ejecución 789;0.0186348
Ejecución 790;0.0176292
Ejecución 791;0.0180103
Ejecución 792;0.0173302
Ejecución 793;0.0171301
Ejecución 794;0.0175092
Ejecución 795;0.0166714
Ejecución 796;0.0170796
Ejecución 797;0.0168006
Ejecución 798;0.0166820
Ejecución 799;0.0165545
Ejecución 800;0.0174374
Ejecución 801;0.0180299
Ejecución 802;0.0170792
Ejecución 803;0.0174287
Ejecución 804;0.0177689
Ejecución 805;0.0170137
Ejecución 806;0.0173125
Ejecución 807;0.0178586
Ejecución 808;0.0174323
Ejecución 809;0.0161856
Ejecución 810;0.0149921
Ejecución 811;0.0146044
Ejecución 812;0.0147721
Ejecución 813;0.0153060
Ejecución 814;0.0160499
Ejecución 815;0.0149638
Ejecución 816;0.0150499
Ejecución 817;0.0151535
Ejecución 818;0.0151870
Ejecución 819;0.0150819
Ejecución 820;0.0155375
Ejecución 821;0.0150662
Ejecución 822;0.0154332
Ejecución 823;0.0172959
Ejecución 824;0.0159463
Ejecución 825;0.0155395
Ejecución 826;0.0156449
Ejecución 827;0.0157291
Ejecución 828;0.0152340
Ejecución 829;0.0150740
Ejecución 830;0.0152475
Ejecución 831;0.0158474
Ejecución 832;0.0160902
Ejecución 833;0.0162445
Ejecución 834;0.0157742
Ejecución 835;0.0155159
Ejecución 836;0.0159535
Ejecución 837;0.0156534
Ejecución 838;0.0165086
Ejecución 839;0.0153199
Ejecución 840;0.0152238
Ejecución 841;0.0146165
Ejecución 842;0.0151221
Ejecución 843;0.0152822
Ejecución 844;0.0155848
Ejecución 845;0.0150912
Ejecución 846;0.0148828
Ejecución 847;0.0150778
Ejecución 848;0.0157677
Ejecución 849;0.0149867
Ejecución 850;0.0150776
Ejecución 851;0.0146574
Ejecución 852;0.0152564
Ejecución 853;0.0157765
Ejecución 854;0.0156586
Ejecución 855;0.0157208
Ejecución 856;0.0156458
Ejecución 857;0.0160629
Ejecución 858;0.0152419
Ejecución 859;0.0146744
Ejecución 860;0.0150830
Ejecución 861;0.0152393
Ejecución 862;0.0151698
Ejecución 863;0.0159546
Ejecución 864;0.0157246
Ejecución 865;0.0153379
Ejecución 866;0.0155927
Ejecución 867;0.0155658
Ejecución 868;0.0160822
Ejecución 869;0.0156296
Ejecución 870;0.0151998
Ejecución 871;0.0161253
Ejecución 872;0.0151055
Ejecución 873;0.0157754
Ejecución 874;0.0163045
Ejecución 875;0.0150760
Ejecución 876;0.0165232
Ejecución 877;0.0153128
Ejecución 878;0.0157849
Ejecución 879;0.0156121
Ejecución 880;0.0150948
Ejecución 881;0.0152019
Ejecución 882;0.0149762
Ejecución 883;0.0149281
Ejecución 884;0.0152585
Ejecución 885;0.0169396
Ejecución 886;0.0160701
Ejecución 887;0.0176793
Ejecución 888;0.0161471
Ejecución 889;0.0167266
Ejecución 890;0.0167578
Ejecución 891;0.0166008
Ejecución 892;0.0166172
Ejecución 893;0.0171167
Ejecución 894;0.0170964
Ejecución 895;0.0168673
Ejecución 896;0.0181285
Ejecución 897;0.0177716
Ejecución 898;0.0177412
Ejecución 899;0.0170005
Ejecución 900;0.0172454
Ejecución 901;0.0178379
Ejecución 902;0.0171009
Ejecución 903;0.0177001
Ejecución 904;0.0173582
Ejecución 905;0.0169744
Ejecución 906;0.0167934
Ejecución 907;0.0167398
Ejecución 908;0.0164991
Ejecución 909;0.0171741
Ejecución 910;0.0170292
Ejecución 911;0.0170866
Ejecución 912;0.0165537
Ejecución 913;0.0170348
Ejecución 914;0.0173106
Ejecución 915;0.0180794
Ejecución 916;0.0179620
Ejecución 917;0.0171643
Ejecución 918;0.0173284
Ejecución 919;0.0176140
Ejecución 920;0.0168693
Ejecución 921;0.0171290
Ejecución 922;0.0180343
Ejecución 923;0.0178083
Ejecución 924;0.0181336
Ejecución 925;0.0174670
Ejecución 926;0.0181351
Ejecución 927;0.0180515
Ejecución 928;0.0177885
Ejecución 929;0.0181166
Ejecución 930;0.0170035
Ejecución 931;0.0170790
Ejecución 932;0.0177061
Ejecución 933;0.0180060
Ejecución 934;0.0175932
Ejecución 935;0.0176142
Ejecución 936;0.0180883
Ejecución 937;0.0178132
Ejecución 938;0.0175882
Ejecución 939;0.0167026
Ejecución 940;0.0170463
Ejecución 941;0.0170623
Ejecución 942;0.0180552
Ejecución 943;0.0182880
Ejecución 944;0.0178572
Ejecución 945;0.0167756
Ejecución 946;0.0176226
Ejecución 947;0.0179167
Ejecución 948;0.0171803
Ejecución 949;0.0170069
Ejecución 950;0.0170879
Ejecución 951;0.0166498
Ejecución 952;0.0175056
Ejecución 953;0.0170682
Ejecución 954;0.0170655
Ejecución 955;0.0170750
Ejecución 956;0.0181057
Ejecución 957;0.0181849
Ejecución 958;0.0166076
Ejecución 959;0.0177668
Ejecución 960;0.0180368
Ejecución 961;0.0177700
Ejecución 962;0.0177143
Ejecución 963;0.0181515
Ejecución 964;0.0177927
Ejecución 965;0.0172367
Ejecución 966;0.0170125
Ejecución 967;0.0173209
Ejecución 968;0.0175095
Ejecución 969;0.0169939
Ejecución 970;0.0170271
Ejecución 971;0.0166706
Ejecución 972;0.0175022
Ejecución 973;0.0177580
Ejecución 974;0.0176058
Ejecución 975;0.0171595
Ejecución 976;0.0177721
Ejecución 977;0.0174872
Ejecución 978;0.0166263
Ejecución 979;0.0176387
Ejecución 980;0.0180874
