Algoritmo;Merge_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8552567s
Tiempo promedio;0.0008553s
Tiempos individuales (s):
Ejecución 437;0.0008131
Ejecución 438;0.0007914
Ejecución 439;0.0008057
Ejecución 440;0.0007999
Ejecución 441;0.0007995
Ejecución 442;0.0008002
Ejecución 443;0.0007973
Ejecución 444;0.0008039
Ejecución 445;0.0009259
Ejecución 446;0.0009356
Ejecución 447;0.0007913
Ejecución 448;0.0007870
Ejecución 449;0.0007910
Ejecución 450;0.0008054
Ejecución 451;0.0007927
Ejecución 452;0.0007917
Ejecución 453;0.0007901
Ejecución 454;0.0007952
Ejecución 455;0.0008089
Ejecución 456;0.0007893
Ejecución 457;0.0007925
Ejecución 458;0.0007927
Ejecución 459;0.0007865
Ejecución 460;0.0008360
Ejecución 461;0.0007995
Ejecución 462;0.0007901
Ejecución 463;0.0007886
Ejecución 464;0.0008143
Ejecución 465;0.0007965
Ejecución 466;0.0008703
Ejecución 467;0.0008257
Ejecución 468;0.0009370
Ejecución 469;0.0007945
Ejecución 470;0.0008074
Ejecución 471;0.0008013
Ejecución 472;0.0007907
Ejecución 473;0.0007954
Ejecución 474;0.0007899
Ejecución 475;0.0007998
Ejecución 476;0.0007907
Ejecución 477;0.0007990
Ejecución 478;0.0007930
Ejecución 479;0.0007939
Ejecución 480;0.0007887
Ejecución 481;0.0007901
Ejecución 482;0.0007865
Ejecución 483;0.0007867
Ejecución 484;0.0009579
Ejecución 485;0.0009037
Ejecución 486;0.0007809
Ejecución 487;0.0007990
Ejecución 488;0.0007741
Ejecución 489;0.0007786
Ejecución 490;0.0007742
Ejecución 491;0.0007800
Ejecución 492;0.0007748
Ejecución 493;0.0007767
Ejecución 494;0.0007671
Ejecución 495;0.0007961
Ejecución 496;0.0007761
Ejecución 497;0.0007785
Ejecución 498;0.0007756
Ejecución 499;0.0008367
Ejecución 500;0.0007733
Ejecución 501;0.0007783
Ejecución 502;0.0007764
Ejecución 503;0.0007904
Ejecución 504;0.0007731
Ejecución 505;0.0008163
Ejecución 506;0.0007728
Ejecución 507;0.0007770
Ejecución 508;0.0007740
Ejecución 509;0.0007793
Ejecución 510;0.0008064
Ejecución 511;0.0008031
Ejecución 512;0.0007896
Ejecución 513;0.0007981
Ejecución 514;0.0007949
Ejecución 515;0.0008509
Ejecución 516;0.0007972
Ejecución 517;0.0008027
Ejecución 518;0.0008033
Ejecución 519;0.0008216
Ejecución 520;0.0008134
Ejecución 521;0.0008235
Ejecución 522;0.0008242
Ejecución 523;0.0008233
Ejecución 524;0.0008149
Ejecución 525;0.0008355
Ejecución 526;0.0007974
Ejecución 527;0.0007935
Ejecución 528;0.0007889
Ejecución 529;0.0008251
Ejecución 530;0.0008151
Ejecución 531;0.0008087
Ejecución 532;0.0008064
Ejecución 533;0.0008100
Ejecución 534;0.0008204
Ejecución 535;0.0008072
Ejecución 536;0.0007913
Ejecución 537;0.0008151
Ejecución 538;0.0008291
Ejecución 539;0.0008130
Ejecución 540;0.0008091
Ejecución 541;0.0008411
Ejecución 542;0.0008330
Ejecución 543;0.0008183
Ejecución 544;0.0008826
Ejecución 545;0.0008694
Ejecución 546;0.0008285
Ejecución 547;0.0008276
Ejecución 548;0.0008325
Ejecución 549;0.0008252
Ejecución 550;0.0008304
Ejecución 551;0.0008226
Ejecución 552;0.0008365
Ejecución 553;0.0008232
Ejecución 554;0.0008517
Ejecución 555;0.0008254
Ejecución 556;0.0008244
Ejecución 557;0.0008272
Ejecución 558;0.0008258
Ejecución 559;0.0008369
Ejecución 560;0.0008233
Ejecución 561;0.0008201
Ejecución 562;0.0008171
Ejecución 563;0.0008434
Ejecución 564;0.0008491
Ejecución 565;0.0008296
Ejecución 566;0.0008213
Ejecución 567;0.0008275
Ejecución 568;0.0008264
Ejecución 569;0.0008251
Ejecución 570;0.0008234
Ejecución 571;0.0008323
Ejecución 572;0.0008252
Ejecución 573;0.0008428
Ejecución 574;0.0008211
Ejecución 575;0.0008369
Ejecución 576;0.0008612
Ejecución 577;0.0008474
Ejecución 578;0.0008365
Ejecución 579;0.0008236
Ejecución 580;0.0008377
Ejecución 581;0.0008474
Ejecución 582;0.0008343
Ejecución 583;0.0008415
Ejecución 584;0.0008330
Ejecución 585;0.0008316
Ejecución 586;0.0008340
Ejecución 587;0.0008214
Ejecución 588;0.0008248
Ejecución 589;0.0008311
Ejecución 590;0.0008236
Ejecución 591;0.0008252
Ejecución 592;0.0008520
Ejecución 593;0.0008441
Ejecución 594;0.0008212
Ejecución 595;0.0008270
Ejecución 596;0.0008360
Ejecución 597;0.0008488
Ejecución 598;0.0008339
Ejecución 599;0.0008342
Ejecución 600;0.0008355
Ejecución 601;0.0008266
Ejecución 602;0.0008471
Ejecución 603;0.0008580
Ejecución 604;0.0008322
Ejecución 605;0.0008362
Ejecución 606;0.0008597
Ejecución 607;0.0008263
Ejecución 608;0.0008324
Ejecución 609;0.0008280
Ejecución 610;0.0008559
Ejecución 611;0.0008537
Ejecución 612;0.0008629
Ejecución 613;0.0008310
Ejecución 614;0.0008252
Ejecución 615;0.0008267
Ejecución 616;0.0008285
Ejecución 617;0.0008424
Ejecución 618;0.0008327
Ejecución 619;0.0008317
Ejecución 620;0.0008265
Ejecución 621;0.0008471
Ejecución 622;0.0008294
Ejecución 623;0.0008453
Ejecución 624;0.0008494
Ejecución 625;0.0008426
Ejecución 626;0.0008264
Ejecución 627;0.0008265
Ejecución 628;0.0008282
Ejecución 629;0.0008236
Ejecución 630;0.0008339
Ejecución 631;0.0008588
Ejecución 632;0.0008294
Ejecución 633;0.0009157
Ejecución 634;0.0008791
Ejecución 635;0.0008292
Ejecución 636;0.0008299
Ejecución 637;0.0008317
Ejecución 638;0.0008228
Ejecución 639;0.0008264
Ejecución 640;0.0008470
Ejecución 641;0.0008373
Ejecución 642;0.0008393
Ejecución 643;0.0008523
Ejecución 644;0.0008407
Ejecución 645;0.0008326
Ejecución 646;0.0008346
Ejecución 647;0.0008301
Ejecución 648;0.0009052
Ejecución 649;0.0008529
Ejecución 650;0.0008931
Ejecución 651;0.0008825
Ejecución 652;0.0008797
Ejecución 653;0.0008883
Ejecución 654;0.0008395
Ejecución 655;0.0008452
Ejecución 656;0.0008441
Ejecución 657;0.0008624
Ejecución 658;0.0008408
Ejecución 659;0.0008817
Ejecución 660;0.0009234
Ejecución 661;0.0009180
Ejecución 662;0.0009166
Ejecución 663;0.0008410
Ejecución 664;0.0007977
Ejecución 665;0.0008214
Ejecución 666;0.0008135
Ejecución 667;0.0008258
Ejecución 668;0.0008469
Ejecución 669;0.0008188
Ejecución 670;0.0008314
Ejecución 671;0.0008242
Ejecución 672;0.0008267
Ejecución 673;0.0008292
Ejecución 674;0.0008356
Ejecución 675;0.0008498
Ejecución 676;0.0008554
Ejecución 677;0.0008407
Ejecución 678;0.0008381
Ejecución 679;0.0008477
Ejecución 680;0.0008304
Ejecución 681;0.0008306
Ejecución 682;0.0008260
Ejecución 683;0.0008272
Ejecución 684;0.0008401
Ejecución 685;0.0008502
Ejecución 686;0.0008543
Ejecución 687;0.0008400
Ejecución 688;0.0008472
Ejecución 689;0.0008418
Ejecución 690;0.0008459
Ejecución 691;0.0008745
Ejecución 692;0.0014510
Ejecución 693;0.0016618
Ejecución 694;0.0016410
Ejecución 695;0.0009123
Ejecución 696;0.0009099
Ejecución 697;0.0008050
Ejecución 698;0.0007844
Ejecución 699;0.0007760
Ejecución 700;0.0007784
Ejecución 701;0.0007758
Ejecución 702;0.0009224
Ejecución 703;0.0007837
Ejecución 704;0.0007864
Ejecución 705;0.0007750
Ejecución 706;0.0007793
Ejecución 707;0.0007726
Ejecución 708;0.0007870
Ejecución 709;0.0007850
Ejecución 710;0.0007881
Ejecución 711;0.0007908
Ejecución 712;0.0007924
Ejecución 713;0.0008043
Ejecución 714;0.0008040
Ejecución 715;0.0007791
Ejecución 716;0.0007843
Ejecución 717;0.0007861
Ejecución 718;0.0007930
Ejecución 719;0.0008137
Ejecución 720;0.0008093
Ejecución 721;0.0008197
Ejecución 722;0.0008316
Ejecución 723;0.0007880
Ejecución 724;0.0007913
Ejecución 725;0.0007834
Ejecución 726;0.0007870
Ejecución 727;0.0007959
Ejecución 728;0.0007907
Ejecución 729;0.0007840
Ejecución 730;0.0007886
Ejecución 731;0.0008017
Ejecución 732;0.0007897
Ejecución 733;0.0008189
Ejecución 734;0.0007958
Ejecución 735;0.0008951
Ejecución 736;0.0008096
Ejecución 737;0.0008044
Ejecución 738;0.0008024
Ejecución 739;0.0008075
Ejecución 740;0.0008116
Ejecución 741;0.0008154
Ejecución 742;0.0008198
Ejecución 743;0.0007897
Ejecución 744;0.0007961
Ejecución 745;0.0007938
Ejecución 746;0.0007958
Ejecución 747;0.0007993
Ejecución 748;0.0007874
Ejecución 749;0.0007953
Ejecución 750;0.0011198
Ejecución 751;0.0008539
Ejecución 752;0.0010162
Ejecución 753;0.0008443
Ejecución 754;0.0008115
Ejecución 755;0.0008320
Ejecución 756;0.0007999
Ejecución 757;0.0007843
Ejecución 758;0.0007822
Ejecución 759;0.0007790
Ejecución 760;0.0007790
Ejecución 761;0.0008162
Ejecución 762;0.0007780
Ejecución 763;0.0007710
Ejecución 764;0.0007917
Ejecución 765;0.0009798
Ejecución 766;0.0007743
Ejecución 767;0.0007736
Ejecución 768;0.0007738
Ejecución 769;0.0007776
Ejecución 770;0.0007732
Ejecución 771;0.0007753
Ejecución 772;0.0007870
Ejecución 773;0.0007927
Ejecución 774;0.0007741
Ejecución 775;0.0007879
Ejecución 776;0.0007804
Ejecución 777;0.0007684
Ejecución 778;0.0007828
Ejecución 779;0.0007851
Ejecución 780;0.0009204
Ejecución 781;0.0008380
Ejecución 782;0.0008714
Ejecución 783;0.0008622
Ejecución 784;0.0008584
Ejecución 785;0.0007711
Ejecución 786;0.0007771
Ejecución 787;0.0007737
Ejecución 788;0.0007783
Ejecución 789;0.0007735
Ejecución 790;0.0007761
Ejecución 791;0.0007841
Ejecución 792;0.0007778
Ejecución 793;0.0007741
Ejecución 794;0.0008087
Ejecución 795;0.0007709
Ejecución 796;0.0007740
Ejecución 797;0.0007722
Ejecución 798;0.0007763
Ejecución 799;0.0007724
Ejecución 800;0.0007778
Ejecución 801;0.0007904
Ejecución 802;0.0008036
Ejecución 803;0.0007889
Ejecución 804;0.0007938
Ejecución 805;0.0007959
Ejecución 806;0.0008112
Ejecución 807;0.0008007
Ejecución 808;0.0008102
Ejecución 809;0.0007998
Ejecución 810;0.0008807
Ejecución 811;0.0008324
Ejecución 812;0.0008118
Ejecución 813;0.0008063
Ejecución 814;0.0008136
Ejecución 815;0.0008206
Ejecución 816;0.0008299
Ejecución 817;0.0008110
Ejecución 818;0.0008116
Ejecución 819;0.0008131
Ejecución 820;0.0008079
Ejecución 821;0.0008283
Ejecución 822;0.0008286
Ejecución 823;0.0008112
Ejecución 824;0.0008078
Ejecución 825;0.0008894
Ejecución 826;0.0008702
Ejecución 827;0.0008373
Ejecución 828;0.0008283
Ejecución 829;0.0008279
Ejecución 830;0.0008264
Ejecución 831;0.0008267
Ejecución 832;0.0008326
Ejecución 833;0.0008247
Ejecución 834;0.0008487
Ejecución 835;0.0008248
Ejecución 836;0.0008356
Ejecución 837;0.0008263
Ejecución 838;0.0008316
Ejecución 839;0.0008279
Ejecución 840;0.0008497
Ejecución 841;0.0008268
Ejecución 842;0.0008236
Ejecución 843;0.0008226
Ejecución 844;0.0008086
Ejecución 845;0.0008085
Ejecución 846;0.0008165
Ejecución 847;0.0008258
Ejecución 848;0.0008221
Ejecución 849;0.0008272
Ejecución 850;0.0008426
Ejecución 851;0.0008269
Ejecución 852;0.0008210
Ejecución 853;0.0008224
Ejecución 854;0.0009166
Ejecución 855;0.0008452
Ejecución 856;0.0008214
Ejecución 857;0.0008325
Ejecución 858;0.0008420
Ejecución 859;0.0008547
Ejecución 860;0.0008389
Ejecución 861;0.0008283
Ejecución 862;0.0008292
Ejecución 863;0.0008278
Ejecución 864;0.0008225
Ejecución 865;0.0008206
Ejecución 866;0.0008310
Ejecución 867;0.0008445
Ejecución 868;0.0008336
Ejecución 869;0.0008422
Ejecución 870;0.0008548
Ejecución 871;0.0008407
Ejecución 872;0.0008486
Ejecución 873;0.0008383
Ejecución 874;0.0008444
Ejecución 875;0.0008321
Ejecución 876;0.0008458
Ejecución 877;0.0008480
Ejecución 878;0.0008416
Ejecución 879;0.0008335
Ejecución 880;0.0008418
Ejecución 881;0.0008465
Ejecución 882;0.0008282
Ejecución 883;0.0008485
Ejecución 884;0.0008230
Ejecución 885;0.0008274
Ejecución 886;0.0008233
Ejecución 887;0.0008265
Ejecución 888;0.0008312
Ejecución 889;0.0008265
Ejecución 890;0.0008251
Ejecución 891;0.0008296
Ejecución 892;0.0008529
Ejecución 893;0.0008440
Ejecución 894;0.0008507
Ejecución 895;0.0008458
Ejecución 896;0.0008615
Ejecución 897;0.0008657
Ejecución 898;0.0008997
Ejecución 899;0.0008467
Ejecución 900;0.0008530
Ejecución 901;0.0008407
Ejecución 902;0.0008311
Ejecución 903;0.0008241
Ejecución 904;0.0008243
Ejecución 905;0.0008298
Ejecución 906;0.0008271
Ejecución 907;0.0008594
Ejecución 908;0.0008386
Ejecución 909;0.0008362
Ejecución 910;0.0008487
Ejecución 911;0.0008525
Ejecución 912;0.0008358
Ejecución 913;0.0009176
Ejecución 914;0.0009282
Ejecución 915;0.0008742
Ejecución 916;0.0008452
Ejecución 917;0.0008496
Ejecución 918;0.0008421
Ejecución 919;0.0008679
Ejecución 920;0.0008261
Ejecución 921;0.0008236
Ejecución 922;0.0008284
Ejecución 923;0.0008586
Ejecución 924;0.0008464
Ejecución 925;0.0008420
Ejecución 926;0.0008484
Ejecución 927;0.0008657
Ejecución 928;0.0009022
Ejecución 929;0.0009122
Ejecución 930;0.0008838
Ejecución 931;0.0008821
Ejecución 932;0.0008812
Ejecución 933;0.0008874
Ejecución 934;0.0008960
Ejecución 935;0.0008798
Ejecución 936;0.0008635
Ejecución 937;0.0008683
Ejecución 938;0.0007843
Ejecución 939;0.0007856
Ejecución 940;0.0007901
Ejecución 941;0.0008324
Ejecución 942;0.0008333
Ejecución 943;0.0008230
Ejecución 944;0.0008757
Ejecución 945;0.0008232
Ejecución 946;0.0008259
Ejecución 947;0.0008240
Ejecución 948;0.0008460
Ejecución 949;0.0008443
Ejecución 950;0.0008576
Ejecución 951;0.0008460
Ejecución 952;0.0008625
Ejecución 953;0.0008579
Ejecución 954;0.0008447
Ejecución 955;0.0008421
Ejecución 956;0.0009356
Ejecución 957;0.0008651
Ejecución 958;0.0008493
Ejecución 959;0.0008524
Ejecución 960;0.0008423
Ejecución 961;0.0008530
Ejecución 962;0.0008403
Ejecución 963;0.0008580
Ejecución 964;0.0008528
Ejecución 965;0.0008613
Ejecución 966;0.0008557
Ejecución 967;0.0008446
Ejecución 968;0.0008401
Ejecución 969;0.0008421
Ejecución 970;0.0008555
Ejecución 971;0.0008364
Ejecución 972;0.0008571
Ejecución 973;0.0008417
Ejecución 974;0.0008461
Ejecución 975;0.0008567
Ejecución 976;0.0008507
Ejecución 977;0.0008406
Ejecución 978;0.0008575
Ejecución 979;0.0008371
Ejecución 980;0.0008629
