Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 436;0.0010970
Ejecución 437;0.0019961
Ejecución 438;0.0019995
Ejecución 439;0.0020015
Ejecución 440;0.0020121
Ejecución 441;0.0009889
Ejecución 442;0.0009966
Ejecución 443;0.0009908
Ejecución 444;0.0020033
Ejecución 445;0.0020006
Ejecución 446;0.0020027
Ejecución 447;0.0009935
Ejecución 448;0.0009990
Ejecución 449;0.0009912
Ejecución 450;0.0020000
Ejecución 451;0.0019976
Ejecución 452;0.0012887
Ejecución 453;0.0010126
Ejecución 454;0.0019868
Ejecución 455;0.0009997
Ejecución 456;0.0020872
Ejecución 457;0.0013317
Ejecución 458;0.0009855
Ejecución 459;0.0019994
Ejecución 460;0.0015399
Ejecución 461;0.0009812
Ejecución 462;0.0020085
Ejecución 463;0.0023301
Ejecución 464;0.0010073
Ejecución 465;0.0010030
Ejecución 466;0.0009950
Ejecución 467;0.0019954
Ejecución 468;0.0018413
Ejecución 469;0.0020933
Ejecución 470;0.0020082
Ejecución 471;0.0019035
Ejecución 472;0.0019997
Ejecución 473;0.0014124
Ejecución 474;0.0021084
Ejecución 475;0.0019000
Ejecución 476;0.0019979
Ejecución 477;0.0020787
Ejecución 478;0.0020003
Ejecución 479;0.0010016
Ejecución 480;0.0009946
Ejecución 481;0.0020076
Ejecución 482;0.0019936
Ejecución 483;0.0020064
Ejecución 484;0.0009950
Ejecución 485;0.0025258
Ejecución 486;0.0020779
Ejecución 487;0.0020143
Ejecución 488;0.0009938
Ejecución 489;0.0014147
Ejecución 490;0.0021007
Ejecución 491;0.0009931
Ejecución 492;0.0009965
Ejecución 493;0.0010006
Ejecución 494;0.0023932
Ejecución 495;0.0010946
Ejecución 496;0.0009884
Ejecución 497;0.0020003
Ejecución 498;0.0019997
Ejecución 499;0.0020053
Ejecución 500;0.0013901
Ejecución 501;0.0020989
Ejecución 502;0.0020066
Ejecución 503;0.0019856
Ejecución 504;0.0020108
Ejecución 505;0.0014324
Ejecución 506;0.0020907
Ejecución 507;0.0020118
Ejecución 508;0.0009855
Ejecución 509;0.0009799
Ejecución 510;0.0010091
Ejecución 511;0.0024034
Ejecución 512;0.0009906
Ejecución 513;0.0009944
Ejecución 514;0.0010043
Ejecución 515;0.0009947
Ejecución 516;0.0015152
Ejecución 517;0.0009855
Ejecución 518;0.0009793
Ejecución 519;0.0005993
Ejecución 520;0.0009963
Ejecución 521;0.0010124
Ejecución 522;0.0015985
Ejecución 523;0.0023355
Ejecución 524;0.0019954
Ejecución 525;0.0020042
Ejecución 526;0.0020015
Ejecución 527;0.0016225
Ejecución 528;0.0020101
Ejecución 529;0.0009921
Ejecución 530;0.0009112
Ejecución 531;0.0010021
Ejecución 532;0.0014704
Ejecución 533;0.0020889
Ejecución 534;0.0020040
Ejecución 535;0.0010201
Ejecución 536;0.0009968
Ejecución 537;0.0014506
Ejecución 538;0.0021029
Ejecución 539;0.0019999
Ejecución 540;0.0019858
Ejecución 541;0.0019993
Ejecución 542;0.0014158
Ejecución 543;0.0020925
Ejecución 544;0.0010923
Ejecución 545;0.0020059
Ejecución 546;0.0019977
Ejecución 547;0.0019955
Ejecución 548;0.0014502
Ejecución 549;0.0020946
Ejecución 550;0.0019941
Ejecución 551;0.0020001
Ejecución 552;0.0010101
Ejecución 553;0.0014603
Ejecución 554;0.0020970
Ejecución 555;0.0019959
Ejecución 556;0.0010102
Ejecución 557;0.0010021
Ejecución 558;0.0013708
Ejecución 559;0.0020873
Ejecución 560;0.0010154
Ejecución 561;0.0009848
Ejecución 562;0.0009150
Ejecución 563;0.0010006
Ejecución 564;0.0024703
Ejecución 565;0.0009912
Ejecución 566;0.0009980
Ejecución 567;0.0020028
Ejecución 568;0.0015161
Ejecución 569;0.0014509
Ejecución 570;0.0010876
Ejecución 571;0.0009871
Ejecución 572;0.0010029
Ejecución 573;0.0009975
Ejecución 574;0.0024277
Ejecución 575;0.0010993
Ejecución 576;0.0020992
Ejecución 577;0.0020031
Ejecución 578;0.0009969
Ejecución 579;0.0019054
Ejecución 580;0.0029951
Ejecución 581;0.0018936
Ejecución 582;0.0020936
Ejecución 583;0.0010000
Ejecución 584;0.0010057
Ejecución 585;0.0019944
Ejecución 586;0.0020011
Ejecución 587;0.0019969
Ejecución 588;0.0020102
Ejecución 589;0.0019870
Ejecución 590;0.0019149
Ejecución 591;0.0010984
Ejecución 592;0.0026723
