Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 578;0.0010038
Ejecución 579;0.0009951
Ejecución 580;0.0013798
Ejecución 581;0.0010187
Ejecución 582;0.0009778
Ejecución 583;0.0009814
Ejecución 584;0.0010152
Ejecución 585;0.0009986
Ejecución 586;0.0009973
Ejecución 587;0.0009955
Ejecución 588;0.0009995
Ejecución 589;0.0009994
Ejecución 590;0.0011062
Ejecución 591;0.0010020
Ejecución 592;0.0009907
Ejecución 593;0.0009985
Ejecución 594;0.0009948
Ejecución 595;0.0010073
Ejecución 596;0.0009891
Ejecución 597;0.0010207
Ejecución 598;0.0009847
Ejecución 599;0.0011127
Ejecución 600;0.0009889
Ejecución 601;0.0009928
Ejecución 602;0.0009489
Ejecución 603;0.0010392
Ejecución 604;0.0010284
Ejecución 605;0.0009128
Ejecución 606;0.0009933
Ejecución 607;0.0010715
Ejecución 608;0.0009987
Ejecución 609;0.0011014
Ejecución 610;0.0009828
Ejecución 611;0.0010025
Ejecución 612;0.0011094
Ejecución 613;0.0009834
Ejecución 614;0.0010051
Ejecución 615;0.0010008
Ejecución 616;0.0009972
Ejecución 617;0.0009807
Ejecución 618;0.0010967
Ejecución 619;0.0009931
Ejecución 620;0.0010064
Ejecución 621;0.0010012
Ejecución 622;0.0009991
Ejecución 623;0.0009488
Ejecución 624;0.0010604
Ejecución 625;0.0009836
Ejecución 626;0.0004172
Ejecución 627;0.0010914
Ejecución 628;0.0009978
Ejecución 629;0.0010023
Ejecución 630;0.0009969
Ejecución 631;0.0009985
Ejecución 632;0.0010135
Ejecución 633;0.0009961
Ejecución 634;0.0014147
Ejecución 635;0.0010072
Ejecución 636;0.0009959
Ejecución 637;0.0009951
Ejecución 638;0.0009184
Ejecución 639;0.0010933
Ejecución 640;0.0010125
Ejecución 641;0.0009884
Ejecución 642;0.0010070
Ejecución 643;0.0010026
Ejecución 644;0.0011109
Ejecución 645;0.0009852
Ejecución 646;0.0009916
Ejecución 647;0.0009986
Ejecución 648;0.0010134
Ejecución 649;0.0009888
Ejecución 650;0.0010174
Ejecución 651;0.0014055
Ejecución 652;0.0006169
Ejecución 653;0.0010136
Ejecución 654;0.0010108
Ejecución 655;0.0010014
Ejecución 656;0.0009989
Ejecución 657;0.0010466
Ejecución 658;0.0009597
Ejecución 659;0.0009802
Ejecución 660;0.0010136
Ejecución 661;0.0010368
Ejecución 662;0.0010001
Ejecución 663;0.0010986
Ejecución 664;0.0010054
Ejecución 665;0.0009985
Ejecución 666;0.0009856
Ejecución 667;0.0009958
Ejecución 668;0.0011166
Ejecución 669;0.0009847
Ejecución 670;0.0009970
Ejecución 671;0.0009287
Ejecución 672;0.0010887
Ejecución 673;0.0009872
Ejecución 674;0.0010255
Ejecución 675;0.0010017
Ejecución 676;0.0009982
Ejecución 677;0.0010169
Ejecución 678;0.0010246
Ejecución 679;0.0009978
Ejecución 680;0.0012613
Ejecución 681;0.0010210
Ejecución 682;0.0010134
Ejecución 683;0.0009765
Ejecución 684;0.0009956
Ejecución 685;0.0009389
Ejecución 686;0.0010625
Ejecución 687;0.0009900
Ejecución 688;0.0010020
Ejecución 689;0.0010065
Ejecución 690;0.0010989
Ejecución 691;0.0010107
Ejecución 692;0.0010042
Ejecución 693;0.0009750
Ejecución 694;0.0010010
Ejecución 695;0.0009967
Ejecución 696;0.0010095
Ejecución 697;0.0010126
Ejecución 698;0.0009803
Ejecución 699;0.0011019
Ejecución 700;0.0009933
Ejecución 701;0.0009046
Ejecución 702;0.0010896
Ejecución 703;0.0010172
Ejecución 704;0.0009836
Ejecución 705;0.0009851
Ejecución 706;0.0009727
Ejecución 707;0.0010459
Ejecución 708;0.0009924
Ejecución 709;0.0010952
Ejecución 710;0.0010067
Ejecución 711;0.0006135
Ejecución 712;0.0010997
Ejecución 713;0.0010033
Ejecución 714;0.0010051
Ejecución 715;0.0009941
Ejecución 716;0.0009272
Ejecución 717;0.0009843
Ejecución 718;0.0013515
Ejecución 719;0.0010131
Ejecución 720;0.0009642
Ejecución 721;0.0009527
Ejecución 722;0.0009909
Ejecución 723;0.0010000
Ejecución 724;0.0009981
