Algoritmo;Quick_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;2.2558706s
Tiempo promedio;0.0022559s
Tiempos individuales (s):
Ejecución 292;0.0019912
Ejecución 293;0.0014282
Ejecución 294;0.0037126
Ejecución 295;0.0019991
Ejecución 296;0.0019866
Ejecución 297;0.0024953
Ejecución 298;0.0020022
Ejecución 299;0.0029802
Ejecución 300;0.0025108
Ejecución 301;0.0019870
Ejecución 302;0.0030021
Ejecución 303;0.0019951
Ejecución 304;0.0025814
Ejecución 305;0.0019995
Ejecución 306;0.0020029
Ejecución 307;0.0023780
Ejecución 308;0.0019945
Ejecución 309;0.0019869
Ejecución 310;0.0031030
Ejecución 311;0.0025043
Ejecución 312;0.0020018
Ejecución 313;0.0019935
Ejecución 314;0.0024106
Ejecución 315;0.0027033
Ejecución 316;0.0026899
Ejecución 317;0.0021093
Ejecución 318;0.0024145
Ejecución 319;0.0020934
Ejecución 320;0.0019872
Ejecución 321;0.0030058
Ejecución 322;0.0024870
Ejecución 323;0.0029952
Ejecución 324;0.0019995
Ejecución 325;0.0024301
Ejecución 326;0.0021080
Ejecución 327;0.0020009
Ejecución 328;0.0020037
Ejecución 329;0.0024437
Ejecución 330;0.0019853
Ejecución 331;0.0021007
Ejecución 332;0.0019884
Ejecución 333;0.0022063
Ejecución 334;0.0031001
Ejecución 335;0.0019954
Ejecución 336;0.0020060
Ejecución 337;0.0014030
Ejecución 338;0.0020012
Ejecución 339;0.0019886
Ejecución 340;0.0024177
Ejecución 341;0.0019841
Ejecución 342;0.0030149
Ejecución 343;0.0019862
Ejecución 344;0.0015346
Ejecución 345;0.0019972
Ejecución 346;0.0020017
Ejecución 347;0.0030913
Ejecución 348;0.0026134
Ejecución 349;0.0020002
Ejecución 350;0.0026214
Ejecución 351;0.0025388
Ejecución 352;0.0021975
Ejecución 353;0.0019138
Ejecución 354;0.0019996
Ejecución 355;0.0024413
Ejecución 356;0.0019831
Ejecución 357;0.0029994
Ejecución 358;0.0023418
Ejecución 359;0.0020033
Ejecución 360;0.0030026
Ejecución 361;0.0019881
Ejecución 362;0.0024989
Ejecución 363;0.0019933
Ejecución 364;0.0019916
Ejecución 365;0.0019914
Ejecución 366;0.0022942
Ejecución 367;0.0020180
Ejecución 368;0.0016817
Ejecución 369;0.0024110
Ejecución 370;0.0020125
Ejecución 371;0.0019925
Ejecución 372;0.0019936
Ejecución 373;0.0024621
Ejecución 374;0.0020017
Ejecución 375;0.0019987
Ejecución 376;0.0024427
Ejecución 377;0.0020038
Ejecución 378;0.0029953
Ejecución 379;0.0020000
Ejecución 380;0.0025264
Ejecución 381;0.0019890
Ejecución 382;0.0020124
Ejecución 383;0.0024521
Ejecución 384;0.0026990
Ejecución 385;0.0021102
Ejecución 386;0.0019811
Ejecución 387;0.0020636
Ejecución 388;0.0022080
Ejecución 389;0.0030055
Ejecución 390;0.0019942
Ejecución 391;0.0025409
Ejecución 392;0.0019915
Ejecución 393;0.0020062
Ejecución 394;0.0019553
Ejecución 395;0.0020905
Ejecución 396;0.0020013
Ejecución 397;0.0029936
Ejecución 398;0.0025347
Ejecución 399;0.0030106
Ejecución 400;0.0020003
Ejecución 401;0.0019980
Ejecución 402;0.0023452
Ejecución 403;0.0019983
Ejecución 404;0.0020178
Ejecución 405;0.0015655
Ejecución 406;0.0020051
Ejecución 407;0.0026137
Ejecución 408;0.0020980
Ejecución 409;0.0024315
Ejecución 410;0.0030970
Ejecución 411;0.0030012
Ejecución 412;0.0019905
Ejecución 413;0.0024798
Ejecución 414;0.0020024
Ejecución 415;0.0020031
Ejecución 416;0.0025025
Ejecución 417;0.0019879
Ejecución 418;0.0030006
Ejecución 419;0.0020925
Ejecución 420;0.0024917
Ejecución 421;0.0019832
Ejecución 422;0.0019997
Ejecución 423;0.0029918
Ejecución 424;0.0020975
Ejecución 425;0.0021007
Ejecución 426;0.0020797
Ejecución 427;0.0024262
Ejecución 428;0.0031010
Ejecución 429;0.0020005
Ejecución 430;0.0019954
Ejecución 431;0.0013887
Ejecución 432;0.0020105
Ejecución 433;0.0019787
Ejecución 434;0.0030051
Ejecución 435;0.0021027
Ejecución 436;0.0029911
Ejecución 437;0.0019518
Ejecución 438;0.0024114
Ejecución 439;0.0030058
Ejecución 440;0.0019918
Ejecución 441;0.0016922
Ejecución 442;0.0025107
Ejecución 443;0.0019819
Ejecución 444;0.0019995
Ejecución 445;0.0019953
Ejecución 446;0.0020945
Ejecución 447;0.0029940
Ejecución 448;0.0029413
Ejecución 449;0.0026389
Ejecución 450;0.0019948
Ejecución 451;0.0019178
Ejecución 452;0.0019836
Ejecución 453;0.0023805
Ejecución 454;0.0020003
Ejecución 455;0.0029986
Ejecución 456;0.0024884
Ejecución 457;0.0030912
Ejecución 458;0.0026943
Ejecución 459;0.0019954
Ejecución 460;0.0024251
Ejecución 461;0.0027256
Ejecución 462;0.0030006
Ejecución 463;0.0020092
Ejecución 464;0.0024999
Ejecución 465;0.0020131
Ejecución 466;0.0019943
Ejecución 467;0.0024399
Ejecución 468;0.0019861
Ejecución 469;0.0029988
Ejecución 470;0.0019923
Ejecución 471;0.0019011
Ejecución 472;0.0020155
Ejecución 473;0.0029869
Ejecución 474;0.0020124
Ejecución 475;0.0019922
Ejecución 476;0.0029864
Ejecución 477;0.0020055
Ejecución 478;0.0026053
Ejecución 479;0.0020002
Ejecución 480;0.0026845
Ejecución 481;0.0020014
Ejecución 482;0.0019914
Ejecución 483;0.0029981
Ejecución 484;0.0020012
Ejecución 485;0.0020126
Ejecución 486;0.0033591
Ejecución 487;0.0019959
Ejecución 488;0.0020057
Ejecución 489;0.0024693
Ejecución 490;0.0019961
Ejecución 491;0.0030020
Ejecución 492;0.0020804
Ejecución 493;0.0015874
Ejecución 494;0.0020001
Ejecución 495;0.0020015
Ejecución 496;0.0024591
Ejecución 497;0.0021132
Ejecución 498;0.0020971
Ejecución 499;0.0030017
Ejecución 500;0.0024315
Ejecución 501;0.0021024
Ejecución 502;0.0019891
Ejecución 503;0.0019835
Ejecución 504;0.0025468
Ejecución 505;0.0019830
Ejecución 506;0.0029982
Ejecución 507;0.0024214
Ejecución 508;0.0031071
Ejecución 509;0.0020005
Ejecución 510;0.0019916
Ejecución 511;0.0032798
Ejecución 512;0.0020010
Ejecución 513;0.0019977
Ejecución 514;0.0027066
Ejecución 515;0.0024806
Ejecución 516;0.0019908
Ejecución 517;0.0030071
Ejecución 518;0.0024151
Ejecución 519;0.0030949
Ejecución 520;0.0020086
Ejecución 521;0.0020137
Ejecución 522;0.0015453
Ejecución 523;0.0020027
Ejecución 524;0.0019628
Ejecución 525;0.0030031
Ejecución 526;0.0021020
Ejecución 527;0.0019924
Ejecución 528;0.0019835
Ejecución 529;0.0014104
Ejecución 530;0.0019937
Ejecución 531;0.0016831
Ejecución 532;0.0020088
Ejecución 533;0.0024058
Ejecución 534;0.0015852
Ejecución 535;0.0019812
Ejecución 536;0.0030019
Ejecución 537;0.0024958
Ejecución 538;0.0029825
Ejecución 539;0.0030046
Ejecución 540;0.0025096
Ejecución 541;0.0029997
Ejecución 542;0.0020022
Ejecución 543;0.0020024
Ejecución 544;0.0032979
Ejecución 545;0.0020164
Ejecución 546;0.0019926
Ejecución 547;0.0019833
Ejecución 548;0.0021057
Ejecución 549;0.0029937
Ejecución 550;0.0029951
Ejecución 551;0.0025641
Ejecución 552;0.0020023
Ejecución 553;0.0015869
Ejecución 554;0.0019956
Ejecución 555;0.0024461
Ejecución 556;0.0020122
Ejecución 557;0.0020021
Ejecución 558;0.0015449
Ejecución 559;0.0019981
Ejecución 560;0.0029927
Ejecución 561;0.0029953
Ejecución 562;0.0020850
Ejecución 563;0.0030096
Ejecución 564;0.0019990
Ejecución 565;0.0022409
Ejecución 566;0.0020074
Ejecución 567;0.0019835
Ejecución 568;0.0019880
Ejecución 569;0.0012884
Ejecución 570;0.0026183
Ejecución 571;0.0019827
Ejecución 572;0.0024016
Ejecución 573;0.0021066
Ejecución 574;0.0020666
Ejecución 575;0.0020005
Ejecución 576;0.0023952
Ejecución 577;0.0019908
Ejecución 578;0.0019920
Ejecución 579;0.0029958
Ejecución 580;0.0025304
Ejecución 581;0.0020006
Ejecución 582;0.0019934
Ejecución 583;0.0020195
Ejecución 584;0.0020968
Ejecución 585;0.0029980
Ejecución 586;0.0025957
Ejecución 587;0.0021021
Ejecución 588;0.0024244
Ejecución 589;0.0020081
Ejecución 590;0.0020232
Ejecución 591;0.0024000
Ejecución 592;0.0020292
Ejecución 593;0.0029959
Ejecución 594;0.0019946
Ejecución 595;0.0023546
Ejecución 596;0.0020004
Ejecución 597;0.0019975
Ejecución 598;0.0029955
Ejecución 599;0.0020983
Ejecución 600;0.0029951
Ejecución 601;0.0020001
