Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;24.38s
Tiempo promedio;0.02438s
Tiempos individuales (s):
Ejecución 908;0.0240032
Ejecución 909;0.0239944
Ejecución 910;0.0240047
Ejecución 911;0.024002
Ejecución 912;0.0240036
Ejecución 913;0.024004
Ejecución 914;0.0240028
Ejecución 915;0.0240031
Ejecución 916;0.0240042
Ejecución 917;0.0230149
Ejecución 918;0.0260093
Ejecución 919;0.0240031
Ejecución 920;0.0240034
Ejecución 921;0.0239934
Ejecución 922;0.0240034
Ejecución 923;0.024015
Ejecución 924;0.0240037
Ejecución 925;0.0240035
Ejecución 926;0.0240036
Ejecución 927;0.0230128
Ejecución 928;0.0230137
Ejecución 929;0.0261531
Ejecución 930;0.0239689
Ejecución 931;0.0240464
Ejecución 932;0.0240039
Ejecución 933;0.0249977
Ejecución 934;0.0280078
Ejecución 935;0.0250152
Ejecución 936;0.0240135
Ejecución 937;0.0236055
Ejecución 938;0.0240012
Ejecución 939;0.0230108
Ejecución 940;0.0230134
Ejecución 941;0.0230071
Ejecución 942;0.023003
Ejecución 943;0.0240026
Ejecución 944;0.0240044
Ejecución 945;0.0240017
Ejecución 946;0.0235949
Ejecución 947;0.0240129
Ejecución 948;0.024003
Ejecución 949;0.024007
Ejecución 950;0.0240019
Ejecución 951;0.0240015
Ejecución 952;0.0240028
Ejecución 953;0.0240047
Ejecución 954;0.0239674
Ejecución 955;0.0245157
Ejecución 956;0.0240043
Ejecución 957;0.0230005
Ejecución 958;0.0240019
Ejecución 959;0.0260037
Ejecución 960;0.0240031
Ejecución 961;0.0240036
Ejecución 962;0.0230005
Ejecución 963;0.0240016
Ejecución 964;0.0240037
Ejecución 965;0.0240008
Ejecución 966;0.0265123
Ejecución 967;0.0240033
Ejecución 968;0.0250055
Ejecución 969;0.024002
Ejecución 970;0.0240039
Ejecución 971;0.0240031
Ejecución 972;0.0250026
Ejecución 973;0.0240012
Ejecución 974;0.025005
Ejecución 975;0.027583
Ejecución 976;0.0260058
Ejecución 977;0.0240098
Ejecución 978;0.0240036
Ejecución 979;0.0240029
Ejecución 980;0.0240063
Ejecución 981;0.0240028
Ejecución 982;0.0230157
Ejecución 983;0.0230136
Ejecución 984;0.0230144
Ejecución 985;0.0240031
Ejecución 986;0.0239916
Ejecución 987;0.0250169
