Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 329;0.0009646
Ejecución 330;0.0010001
Ejecución 331;0.0010027
Ejecución 332;0.0020006
Ejecución 333;0.0020004
Ejecución 334;0.0020017
Ejecución 335;0.0020003
Ejecución 336;0.0009613
Ejecución 337;0.005583
Ejecución 338;0.0020438
Ejecución 339;0.0020007
Ejecución 340;0.002001
Ejecución 341;0.0020021
Ejecución 342;0.0019591
Ejecución 343;0.0010325
Ejecución 344;0.0019976
Ejecución 345;0.001999
Ejecución 346;0.0020057
Ejecución 347;0.0019918
Ejecución 348;0.0009666
Ejecución 349;0.0009971
Ejecución 350;0.0020384
Ejecución 351;0.0020005
Ejecución 352;0.0019983
Ejecución 353;0.0020002
Ejecución 354;0.0010076
Ejecución 355;0.0009652
Ejecución 356;0.0020045
Ejecución 357;0.002005
Ejecución 358;0.001995
Ejecución 359;0.0020036
Ejecución 360;0.0019934
Ejecución 361;0.002
Ejecución 362;0.001
Ejecución 363;0.0009975
Ejecución 364;0.001002
Ejecución 365;0.0020001
Ejecución 366;0.0020006
Ejecución 367;0.0020009
Ejecución 368;0.0020008
Ejecución 369;0.0019995
Ejecución 370;0.0020026
Ejecución 371;0.0020033
Ejecución 372;0.0019968
Ejecución 373;0.0020012
Ejecución 374;0.0020019
Ejecución 375;0.0020034
Ejecución 376;0.001999
Ejecución 377;0.0009881
Ejecución 378;0.0009914
Ejecución 379;0.0009981
Ejecución 380;0.0010015
Ejecución 381;0.0010016
Ejecución 382;0.002001
Ejecución 383;0.0020084
Ejecución 384;0.0020008
Ejecución 385;0.001999
Ejecución 386;0.0019996
Ejecución 387;0.0009989
Ejecución 388;0.0009909
Ejecución 389;0.001005
Ejecución 390;0.0009996
Ejecución 391;0.0009977
Ejecución 392;0.0010008
Ejecución 393;0.0010138
Ejecución 394;0.0019956
Ejecución 395;0.002001
Ejecución 396;0.002001
Ejecución 397;0.0019561
Ejecución 398;0.0020003
Ejecución 399;0.0020001
Ejecución 400;0.0020009
Ejecución 401;0.0010026
Ejecución 402;0.0020029
Ejecución 403;0.0020011
Ejecución 404;0.0020067
Ejecución 405;0.0019986
Ejecución 406;0.0019967
Ejecución 407;0.0010001
Ejecución 408;0.000966
Ejecución 409;0.0010336
Ejecución 410;0.0019591
Ejecución 411;0.0020005
Ejecución 412;0.0020375
Ejecución 413;0.0019998
Ejecución 414;0.002002
Ejecución 415;0.0020009
Ejecución 416;0.0020016
Ejecución 417;0.0010007
Ejecución 418;0.0010003
Ejecución 419;0.0019578
Ejecución 420;0.0020413
Ejecución 421;0.0019964
Ejecución 422;0.0020006
Ejecución 423;0.0020003
Ejecución 424;0.002001
Ejecución 425;0.0020006
Ejecución 426;0.0019999
Ejecución 427;0.0010358
Ejecución 428;0.0010006
Ejecución 429;0.0010437
Ejecución 430;0.0019885
Ejecución 431;0.0020027
Ejecución 432;0.0020004
Ejecución 433;0.0019995
Ejecución 434;0.0020001
Ejecución 435;0.0019996
Ejecución 436;0.0020015
Ejecución 437;0.0020007
Ejecución 438;0.0020001
Ejecución 439;0.0009921
Ejecución 440;0.0009911
Ejecución 441;0.000994
Ejecución 442;0.001002
Ejecución 443;0.0010021
Ejecución 444;0.0010016
Ejecución 445;0.0009985
Ejecución 446;0.0010053
Ejecución 447;0.0020013
Ejecución 448;0.0019993
Ejecución 449;0.0020016
Ejecución 450;0.0019992
Ejecución 451;0.0020015
Ejecución 452;0.0020008
Ejecución 453;0.0019983
Ejecución 454;0.0020012
Ejecución 455;0.0019996
Ejecución 456;0.0020017
Ejecución 457;0.0019983
Ejecución 458;0.0009927
Ejecución 459;0.0009605
Ejecución 460;0.00099
Ejecución 461;0.0009921
Ejecución 462;0.0010016
Ejecución 463;0.0009986
Ejecución 464;0.0010094
Ejecución 465;0.0009965
Ejecución 466;0.0010065
Ejecución 467;0.0019978
Ejecución 468;0.0020014
Ejecución 469;0.002002
Ejecución 470;0.0019977
Ejecución 471;0.0020027
Ejecución 472;0.0020008
Ejecución 473;0.001997
Ejecución 474;0.0020003
Ejecución 475;0.0020035
Ejecución 476;0.0019999
Ejecución 477;0.0019974
Ejecución 478;0.0009929
Ejecución 479;0.0009932
Ejecución 480;0.0009884
Ejecución 481;0.0009961
Ejecución 482;0.0010084
Ejecución 483;0.0010009
Ejecución 484;0.0009999
Ejecución 485;0.0009956
Ejecución 486;0.0009976
Ejecución 487;0.0010083
Ejecución 488;0.0020028
Ejecución 489;0.0019979
Ejecución 490;0.0020003
Ejecución 491;0.0020034
Ejecución 492;0.0019961
Ejecución 493;0.0019983
Ejecución 494;0.0019958
Ejecución 495;0.0020004
Ejecución 496;0.0009995
Ejecución 497;0.0019996
Ejecución 498;0.0020002
Ejecución 499;0.0020012
Ejecución 500;0.002
Ejecución 501;0.0010018
Ejecución 502;0.0010016
Ejecución 503;0.0020003
Ejecución 504;0.002001
Ejecución 505;0.0020397
Ejecución 506;0.0019997
Ejecución 507;0.0020003
Ejecución 508;0.0009984
Ejecución 509;0.0020014
Ejecución 510;0.0020374
Ejecución 511;0.0019962
Ejecución 512;0.0020001
Ejecución 513;0.0020004
Ejecución 514;0.0020011
Ejecución 515;0.0010024
Ejecución 516;0.0009999
Ejecución 517;0.0020027
Ejecución 518;0.0019964
Ejecución 519;0.0020036
Ejecución 520;0.0019972
Ejecución 521;0.0020007
Ejecución 522;0.0012627
Ejecución 523;0.0009998
Ejecución 524;0.0009989
Ejecución 525;0.0010043
Ejecución 526;0.0009997
Ejecución 527;0.000999
Ejecución 528;0.0010017
Ejecución 529;0.0010023
Ejecución 530;0.0010127
Ejecución 531;0.0019943
Ejecución 532;0.0020002
Ejecución 533;0.0020004
Ejecución 534;0.0020015
Ejecución 535;0.0020002
Ejecución 536;0.0019994
Ejecución 537;0.002002
Ejecución 538;0.001997
Ejecución 539;0.0020014
