Algoritmo;Bucket_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.68377s
Tiempo promedio;0.00168377s
Tiempos individuales (s):
Ejecución 808;0.0019999
Ejecución 809;0.0009971
Ejecución 810;0.0010001
Ejecución 811;0.0010451
Ejecución 812;0.000997
Ejecución 813;0.0010023
Ejecución 814;0.0009992
Ejecución 815;0.0009959
Ejecución 816;0.0020028
Ejecución 817;0.0020031
Ejecución 818;0.0009886
Ejecución 819;0.000994
Ejecución 820;0.0010017
Ejecución 821;0.0020006
Ejecución 822;0.0020105
Ejecución 823;0.0019973
Ejecución 824;0.0020001
Ejecución 825;0.0009983
Ejecución 826;0.0009921
Ejecución 827;0.0010023
Ejecución 828;0.0010086
Ejecución 829;0.0020014
Ejecución 830;0.002001
Ejecución 831;0.0020014
Ejecución 832;0.0009898
Ejecución 833;0.000992
Ejecución 834;0.0009975
Ejecución 835;0.0010072
Ejecución 836;0.0020026
Ejecución 837;0.0019981
Ejecución 838;0.0020023
Ejecución 839;0.0009913
Ejecución 840;0.0009944
Ejecución 841;0.0010012
Ejecución 842;0.0010025
Ejecución 843;0.0019932
Ejecución 844;0.0020005
Ejecución 845;0.0020004
Ejecución 846;0.0010014
Ejecución 847;0.0009999
Ejecución 848;0.0009987
Ejecución 849;0.0010002
Ejecución 850;0.0020059
Ejecución 851;0.0020003
Ejecución 852;0.0020002
Ejecución 853;0.0020016
Ejecución 854;0.000997
Ejecución 855;0.0009971
Ejecución 856;0.0010024
Ejecución 857;0.0010019
Ejecución 858;0.0020004
Ejecución 859;0.0019985
Ejecución 860;0.0020002
Ejecución 861;0.0020006
Ejecución 862;0.0010078
Ejecución 863;0.0010093
Ejecución 864;0.000966
Ejecución 865;0.0020415
Ejecución 866;0.0020003
Ejecución 867;0.0020027
Ejecución 868;0.0020004
Ejecución 869;0.0009897
Ejecución 870;0.0009803
Ejecución 871;0.0009987
Ejecución 872;0.0020015
Ejecución 873;0.0019995
Ejecución 874;0.0020017
Ejecución 875;0.0019977
Ejecución 876;0.0020012
Ejecución 877;0.0020078
Ejecución 878;0.0009935
Ejecución 879;0.0009909
Ejecución 880;0.0010072
Ejecución 881;0.0010156
Ejecución 882;0.0019903
Ejecución 883;0.0019999
Ejecución 884;0.0020008
Ejecución 885;0.0009927
Ejecución 886;0.0009916
Ejecución 887;0.0009996
Ejecución 888;0.0019991
Ejecución 889;0.0019687
Ejecución 890;0.0019978
Ejecución 891;0.0020009
Ejecución 892;0.0009999
Ejecución 893;0.0010008
Ejecución 894;0.0009999
Ejecución 895;0.0020003
Ejecución 896;0.0020003
Ejecución 897;0.0020344
Ejecución 898;0.0009993
Ejecución 899;0.0009944
Ejecución 900;0.0010005
Ejecución 901;0.0009998
Ejecución 902;0.0020034
Ejecución 903;0.0020061
Ejecución 904;0.0020007
Ejecución 905;0.0009921
Ejecución 906;0.0010069
Ejecución 907;0.0009932
Ejecución 908;0.0020105
Ejecución 909;0.0019979
Ejecución 910;0.0020007
Ejecución 911;0.0009917
Ejecución 912;0.0009922
Ejecución 913;0.0010049
Ejecución 914;0.0019986
Ejecución 915;0.0019987
Ejecución 916;0.0020002
Ejecución 917;0.0020108
Ejecución 918;0.0009892
Ejecución 919;0.0010016
Ejecución 920;0.0010397
Ejecución 921;0.0020022
Ejecución 922;0.0020008
Ejecución 923;0.001998
Ejecución 924;0.0020055
Ejecución 925;0.00099
Ejecución 926;0.0009995
Ejecución 927;0.0010008
Ejecución 928;0.0020054
Ejecución 929;0.0020002
Ejecución 930;0.0020015
Ejecución 931;0.00099
Ejecución 932;0.0009889
Ejecución 933;0.0010428
Ejecución 934;0.001009
Ejecución 935;0.0019994
Ejecución 936;0.0020002
Ejecución 937;0.0020029
Ejecución 938;0.0019976
Ejecución 939;0.0019613
Ejecución 940;0.0019975
Ejecución 941;0.0019547
Ejecución 942;0.0020005
Ejecución 943;0.0020017
Ejecución 944;0.0009546
Ejecución 945;0.0019638
Ejecución 946;0.0030024
Ejecución 947;0.0019974
Ejecución 948;0.0020014
Ejecución 949;0.002001
Ejecución 950;0.0010019
Ejecución 951;0.0020338
Ejecución 952;0.0019932
Ejecución 953;0.0010385
Ejecución 954;0.0010345
Ejecución 955;0.0009984
Ejecución 956;0.0020008
Ejecución 957;0.0019663
Ejecución 958;0.0019963
Ejecución 959;0.0020346
Ejecución 960;0.0009643
Ejecución 961;0.0010007
Ejecución 962;0.0019991
Ejecución 963;0.0020004
Ejecución 964;0.002
Ejecución 965;0.0020044
Ejecución 966;0.0019968
Ejecución 967;0.0019998
Ejecución 968;0.0009988
Ejecución 969;0.0010007
Ejecución 970;0.0010005
Ejecución 971;0.0019645
Ejecución 972;0.0020004
Ejecución 973;0.0020001
Ejecución 974;0.0020372
Ejecución 975;0.002
Ejecución 976;0.002004
Ejecución 977;0.0009666
Ejecución 978;0.0010019
Ejecución 979;0.0020044
Ejecución 980;0.0019986
Ejecución 981;0.0020036
Ejecución 982;0.0019937
Ejecución 983;0.0010033
Ejecución 984;0.0010034
Ejecución 985;0.0009919
Ejecución 986;0.0019946
Ejecución 987;0.0020012
