Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.00136s
Tiempo promedio;0.00100136s
Tiempos individuales (s):
Ejecución 417;0.0009994
Ejecución 418;0.0010329
Ejecución 419;0.0009689
Ejecución 420;0.0010006
Ejecución 421;0.0010009
Ejecución 422;0.0009999
Ejecución 423;0.0009997
Ejecución 424;0.0009972
Ejecución 425;0.0009988
Ejecución 426;0.0009996
Ejecución 427;0.001
Ejecución 428;0.0009987
Ejecución 429;0.0010001
Ejecución 430;0.001
Ejecución 431;0.0009999
Ejecución 432;0.0009994
Ejecución 433;0.0010002
Ejecución 434;0.0010001
Ejecución 435;0.0009995
Ejecución 436;0.0010007
Ejecución 437;0.0010101
Ejecución 438;0.0009879
Ejecución 439;0.001
Ejecución 440;0.001
Ejecución 441;0.0010025
Ejecución 442;0.0010007
Ejecución 443;0.0009997
Ejecución 444;0.0009986
Ejecución 445;0.0009993
Ejecución 446;0.0010005
Ejecución 447;0.0010381
Ejecución 448;0.0009607
Ejecución 449;0.0009991
Ejecución 450;0.0010001
Ejecución 451;0.0009995
Ejecución 452;0.0010008
Ejecución 453;0.0009976
Ejecución 454;0.001002
Ejecución 455;0.0010019
Ejecución 456;0.0009988
Ejecución 457;0.0009995
Ejecución 458;0.0010003
Ejecución 459;0.0010018
Ejecución 460;0.0009986
Ejecución 461;0.0009997
Ejecución 462;0.0009985
Ejecución 463;0.0010007
Ejecución 464;0.0010004
Ejecución 465;0.0010003
Ejecución 466;0.0010029
Ejecución 467;0.0009994
Ejecución 468;0.0009982
Ejecución 469;0.0010013
Ejecución 470;0.0009998
Ejecución 471;0.0009996
Ejecución 472;0.0010007
Ejecución 473;0.0009918
Ejecución 474;0.0009989
Ejecución 475;0.0010001
Ejecución 476;0.0009996
Ejecución 477;0.0010012
Ejecución 478;0.001
Ejecución 479;0.0010001
Ejecución 480;0.001001
Ejecución 481;0.0009992
Ejecución 482;0.0009984
Ejecución 483;0.0009986
Ejecución 484;0.0009996
Ejecución 485;0.0009994
Ejecución 486;0.001
Ejecución 487;0.0010172
Ejecución 488;0.0009811
Ejecución 489;0.0010011
Ejecución 490;0.0009977
Ejecución 491;0.0010013
Ejecución 492;0.0010012
Ejecución 493;0.0009986
Ejecución 494;0.0010014
Ejecución 495;0.0010017
Ejecución 496;0.0010025
Ejecución 497;0.0009992
Ejecución 498;0.0010158
Ejecución 499;0.0009835
Ejecución 500;0.0009991
Ejecución 501;0.0009645
Ejecución 502;0.001035
Ejecución 503;0.0009962
Ejecución 504;0.0009997
Ejecución 505;0.0009988
Ejecución 506;0.0010006
Ejecución 507;0.0010002
Ejecución 508;0.0010021
Ejecución 509;0.0009991
Ejecución 510;0.0009994
Ejecución 511;0.0010009
Ejecución 512;0.0009999
Ejecución 513;0.001001
Ejecución 514;0.0010004
Ejecución 515;0.0005176
Ejecución 516;0.000999
Ejecución 517;0.0010008
Ejecución 518;0.0010011
Ejecución 519;0.0010006
Ejecución 520;0.0010014
Ejecución 521;0.0010007
Ejecución 522;0.0010321
Ejecución 523;0.0009991
Ejecución 524;0.0009999
Ejecución 525;0.0009989
Ejecución 526;0.0010004
Ejecución 527;0.0010039
Ejecución 528;0.0010003
Ejecución 529;0.0009968
Ejecución 530;0.0010025
Ejecución 531;0.0009992
Ejecución 532;0.0009999
Ejecución 533;0.0009998
Ejecución 534;0.0010011
Ejecución 535;0.0010004
Ejecución 536;0.0009993
Ejecución 537;0.0010004
Ejecución 538;0.0009992
Ejecución 539;0.0009975
Ejecución 540;0.0010011
Ejecución 541;0.0009999
Ejecución 542;0.0009999
Ejecución 543;0.000989
Ejecución 544;0.0009989
Ejecución 545;0.0009982
Ejecución 546;0.001
Ejecución 547;0.0010011
Ejecución 548;0.0009993
Ejecución 549;0.0009997
Ejecución 550;0.0010019
Ejecución 551;0.0009989
Ejecución 552;0.0009999
Ejecución 553;0.0009994
Ejecución 554;0.0010002
Ejecución 555;0.0009994
Ejecución 556;0.0010002
Ejecución 557;0.0010018
Ejecución 558;0.0009997
Ejecución 559;0.0009979
Ejecución 560;0.0009995
Ejecución 561;0.0010006
Ejecución 562;0.0010008
Ejecución 563;0.0009988
Ejecución 564;0.0010011
Ejecución 565;0.0010005
Ejecución 566;0.0010011
Ejecución 567;0.0010084
Ejecución 568;0.0009907
Ejecución 569;0.0010004
Ejecución 570;0.0010011
Ejecución 571;0.000999
Ejecución 572;0.0009991
Ejecución 573;0.0010001
Ejecución 574;0.0009988
Ejecución 575;0.0010057
Ejecución 576;0.0009981
Ejecución 577;0.0010019
Ejecución 578;0.0010005
Ejecución 579;0.0010003
Ejecución 580;0.0009994
Ejecución 581;0.0009991
Ejecución 582;0.0009972
Ejecución 583;0.0010007
Ejecución 584;0.0009975
Ejecución 585;0.001
Ejecución 586;0.0009993
Ejecución 587;0.0010004
Ejecución 588;0.0009993
Ejecución 589;0.0010059
