Algoritmo;Heap_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;2.65493s
Tiempo promedio;0.00265493s
Tiempos individuales (s):
Ejecución 566;0.0030033
Ejecución 567;0.0030001
Ejecución 568;0.0030007
Ejecución 569;0.0020037
Ejecución 570;0.0020004
Ejecución 571;0.0020091
Ejecución 572;0.0030019
Ejecución 573;0.0030006
Ejecución 574;0.002998
Ejecución 575;0.0030003
Ejecución 576;0.0030008
Ejecución 577;0.0020033
Ejecución 578;0.0020094
Ejecución 579;0.0020086
Ejecución 580;0.0030126
Ejecución 581;0.0029859
Ejecución 582;0.0020038
Ejecución 583;0.0020089
Ejecución 584;0.0020099
Ejecución 585;0.0029971
Ejecución 586;0.0030001
Ejecución 587;0.002
Ejecución 588;0.0020008
Ejecución 589;0.0020048
Ejecución 590;0.0020134
Ejecución 591;0.0029887
Ejecución 592;0.0030074
Ejecución 593;0.0030025
Ejecución 594;0.0019986
Ejecución 595;0.0020011
Ejecución 596;0.0020046
Ejecución 597;0.0035801
Ejecución 598;0.0020013
Ejecución 599;0.0020019
Ejecución 600;0.0020086
Ejecución 601;0.0030001
Ejecución 602;0.0029582
Ejecución 603;0.0030429
Ejecución 604;0.0030006
Ejecución 605;0.0030001
Ejecución 606;0.0020021
Ejecución 607;0.0020077
Ejecución 608;0.0020081
Ejecución 609;0.0030003
Ejecución 610;0.0030011
Ejecución 611;0.0019923
Ejecución 612;0.0020006
Ejecución 613;0.0020085
Ejecución 614;0.0029996
Ejecución 615;0.0030019
Ejecución 616;0.0029985
Ejecución 617;0.0020007
Ejecución 618;0.0020075
Ejecución 619;0.0030007
Ejecución 620;0.0030006
Ejecución 621;0.0030008
Ejecución 622;0.0020011
Ejecución 623;0.0019999
Ejecución 624;0.0020099
Ejecución 625;0.0029988
Ejecución 626;0.0030006
Ejecución 627;0.0029997
Ejecución 628;0.0020007
Ejecución 629;0.0020027
Ejecución 630;0.0020086
Ejecución 631;0.0029994
Ejecución 632;0.003002
Ejecución 633;0.0029993
Ejecución 634;0.0020026
Ejecución 635;0.0020024
Ejecución 636;0.0020036
Ejecución 637;0.0030032
Ejecución 638;0.0029987
Ejecución 639;0.0029997
Ejecución 640;0.0019996
Ejecución 641;0.001998
Ejecución 642;0.002006
Ejecución 643;0.0030019
Ejecución 644;0.0029984
Ejecución 645;0.003003
Ejecución 646;0.0020004
Ejecución 647;0.0020073
Ejecución 648;0.0020083
Ejecución 649;0.0029999
Ejecución 650;0.0030008
Ejecución 651;0.0019997
Ejecución 652;0.0019983
Ejecución 653;0.0019674
Ejecución 654;0.0020058
Ejecución 655;0.0020078
Ejecución 656;0.0020067
Ejecución 657;0.0019615
Ejecución 658;0.0030406
Ejecución 659;0.0029998
Ejecución 660;0.0020006
Ejecución 661;0.0020022
Ejecución 662;0.002005
Ejecución 663;0.0029601
Ejecución 664;0.0030413
Ejecución 665;0.0029983
Ejecución 666;0.0030014
Ejecución 667;0.0029988
Ejecución 668;0.003003
Ejecución 669;0.002
Ejecución 670;0.0019975
Ejecución 671;0.0020061
Ejecución 672;0.0030033
Ejecución 673;0.0029978
Ejecución 674;0.0030037
Ejecución 675;0.0019967
Ejecución 676;0.0020068
Ejecución 677;0.0020089
Ejecución 678;0.0030004
Ejecución 679;0.0029912
Ejecución 680;0.002014
Ejecución 681;0.0019976
Ejecución 682;0.0020081
Ejecución 683;0.0030003
Ejecución 684;0.0030006
Ejecución 685;0.0030008
Ejecución 686;0.0020043
Ejecución 687;0.0020109
Ejecución 688;0.0020056
Ejecución 689;0.0030001
Ejecución 690;0.0030045
Ejecución 691;0.0019994
Ejecución 692;0.0020008
Ejecución 693;0.0020073
Ejecución 694;0.0030033
Ejecución 695;0.002999
Ejecución 696;0.0030024
Ejecución 697;0.001996
Ejecución 698;0.0020065
Ejecución 699;0.002007
Ejecución 700;0.003
Ejecución 701;0.0030014
Ejecución 702;0.0019915
Ejecución 703;0.0019963
Ejecución 704;0.0020078
Ejecución 705;0.0030011
Ejecución 706;0.0029995
Ejecución 707;0.0029927
Ejecución 708;0.0020087
Ejecución 709;0.0019992
Ejecución 710;0.0020026
Ejecución 711;0.0030035
Ejecución 712;0.0029966
Ejecución 713;0.0030004
Ejecución 714;0.0020006
Ejecución 715;0.0020107
Ejecución 716;0.002008
Ejecución 717;0.003
Ejecución 718;0.0030064
Ejecución 719;0.0019945
Ejecución 720;0.0020003
Ejecución 721;0.002007
Ejecución 722;0.0030001
Ejecución 723;0.0030013
Ejecución 724;0.0029907
Ejecución 725;0.0020089
Ejecución 726;0.0020083
Ejecución 727;0.0020412
Ejecución 728;0.0030004
Ejecución 729;0.003
Ejecución 730;0.0029985
Ejecución 731;0.0020032
Ejecución 732;0.0020042
Ejecución 733;0.0030037
Ejecución 734;0.0020005
Ejecución 735;0.0019905
Ejecución 736;0.0020084
Ejecución 737;0.0030003
Ejecución 738;0.0030007
Ejecución 739;0.0029997
Ejecución 740;0.0020048
Ejecución 741;0.0020086
Ejecución 742;0.0030002
Ejecución 743;0.0030005
Ejecución 744;0.0030001
Ejecución 745;0.0020122
Ejecución 746;0.0020078
Ejecución 747;0.0031749
Ejecución 748;0.0028302
Ejecución 749;0.0029968
Ejecución 750;0.002
Ejecución 751;0.0020008
Ejecución 752;0.0020058
Ejecución 753;0.0030006
Ejecución 754;0.0030003
Ejecución 755;0.0030056
Ejecución 756;0.0019538
Ejecución 757;0.0019963
Ejecución 758;0.0020081
Ejecución 759;0.0030004
Ejecución 760;0.0030003
Ejecución 761;0.0020054
Ejecución 762;0.002
Ejecución 763;0.002008
Ejecución 764;0.0030017
Ejecución 765;0.0029992
Ejecución 766;0.0030001
Ejecución 767;0.0020025
Ejecución 768;0.0020025
Ejecución 769;0.0020086
Ejecución 770;0.0029987
Ejecución 771;0.0030008
Ejecución 772;0.0019997
Ejecución 773;0.0019992
Ejecución 774;0.0020047
Ejecución 775;0.0074626
Ejecución 776;0.0030019
Ejecución 777;0.0029988
Ejecución 778;0.0030004
Ejecución 779;0.0030003
Ejecución 780;0.0020005
Ejecución 781;0.0019986
Ejecución 782;0.0019985
Ejecución 783;0.0030005
Ejecución 784;0.0030014
Ejecución 785;0.0029993
Ejecución 786;0.0020013
Ejecución 787;0.0019991
Ejecución 788;0.0019983
Ejecución 789;0.0030004
Ejecución 790;0.0030006
Ejecución 791;0.0030004
Ejecución 792;0.0020002
Ejecución 793;0.0020003
Ejecución 794;0.0019993
Ejecución 795;0.0019987
Ejecución 796;0.0030003
Ejecución 797;0.0030009
Ejecución 798;0.0020003
Ejecución 799;0.0020004
Ejecución 800;0.0019988
Ejecución 801;0.0030015
Ejecución 802;0.0029993
Ejecución 803;0.0030001
Ejecución 804;0.0020006
Ejecución 805;0.0019992
Ejecución 806;0.0019986
Ejecución 807;0.0030003
Ejecución 808;0.0030009
Ejecución 809;0.003
Ejecución 810;0.0020003
Ejecución 811;0.0019986
Ejecución 812;0.0030005
Ejecución 813;0.0030024
Ejecución 814;0.0030007
Ejecución 815;0.0020006
Ejecución 816;0.0019991
Ejecución 817;0.0019982
Ejecución 818;0.0030001
Ejecución 819;0.0030009
Ejecución 820;0.0029994
Ejecución 821;0.0020004
Ejecución 822;0.0019982
Ejecución 823;0.0029997
Ejecución 824;0.0030009
Ejecución 825;0.0020005
Ejecución 826;0.0019995
Ejecución 827;0.0029992
Ejecución 828;0.003
Ejecución 829;0.0030018
Ejecución 830;0.0020004
Ejecución 831;0.0019976
Ejecución 832;0.0019983
Ejecución 833;0.001998
Ejecución 834;0.0019988
Ejecución 835;0.0030009
Ejecución 836;0.0029997
Ejecución 837;0.0029999
Ejecución 838;0.0030015
Ejecución 839;0.0029993
Ejecución 840;0.0030024
Ejecución 841;0.0029982
Ejecución 842;0.0030017
Ejecución 843;0.0030006
Ejecución 844;0.0019991
Ejecución 845;0.0019991
Ejecución 846;0.0019973
Ejecución 847;0.0019985
Ejecución 848;0.0019975
Ejecución 849;0.0030011
Ejecución 850;0.0029997
Ejecución 851;0.0025074
Ejecución 852;0.0030065
Ejecución 853;0.0029996
Ejecución 854;0.0030009
Ejecución 855;0.002001
Ejecución 856;0.0019986
Ejecución 857;0.0020105
Ejecución 858;0.0020002
Ejecución 859;0.0020047
Ejecución 860;0.0020086
Ejecución 861;0.0020076
Ejecución 862;0.0030007
Ejecución 863;0.0030005
Ejecución 864;0.0030002
Ejecución 865;0.0020032
Ejecución 866;0.0020075
Ejecución 867;0.0029999
Ejecución 868;0.0020082
Ejecución 869;0.0029988
Ejecución 870;0.0030003
Ejecución 871;0.0020005
Ejecución 872;0.0020008
Ejecución 873;0.0030078
Ejecución 874;0.0030019
Ejecución 875;0.0029975
Ejecución 876;0.0030011
Ejecución 877;0.003003
Ejecución 878;0.0019904
Ejecución 879;0.0020036
Ejecución 880;0.0020078
Ejecución 881;0.0030033
Ejecución 882;0.0029996
Ejecución 883;0.0019917
Ejecución 884;0.0019961
Ejecución 885;0.0020027
Ejecución 886;0.0030028
Ejecución 887;0.0029992
Ejecución 888;0.0029991
Ejecución 889;0.0020034
Ejecución 890;0.0019661
Ejecución 891;0.0019998
Ejecución 892;0.0029996
Ejecución 893;0.0030409
Ejecución 894;0.0020403
Ejecución 895;0.0029968
Ejecución 896;0.0030026
Ejecución 897;0.0029619
Ejecución 898;0.0030371
Ejecución 899;0.0020021
Ejecución 900;0.0030042
Ejecución 901;0.0030026
Ejecución 902;0.0030023
Ejecución 903;0.0029963
Ejecución 904;0.0029999
Ejecución 905;0.003006
Ejecución 906;0.0029999
Ejecución 907;0.0029999
Ejecución 908;0.0030009
Ejecución 909;0.0030002
Ejecución 910;0.0030021
Ejecución 911;0.0029994
Ejecución 912;0.0030018
Ejecución 913;0.0029985
Ejecución 914;0.0030017
Ejecución 915;0.0030021
Ejecución 916;0.0030013
Ejecución 917;0.003
Ejecución 918;0.0030033
Ejecución 919;0.0019967
Ejecución 920;0.0020072
Ejecución 921;0.0020067
Ejecución 922;0.0030012
Ejecución 923;0.0030015
Ejecución 924;0.003003
Ejecución 925;0.002998
Ejecución 926;0.0019911
Ejecución 927;0.0020001
Ejecución 928;0.0020079
Ejecución 929;0.0029999
Ejecución 930;0.0029579
Ejecución 931;0.0030426
Ejecución 932;0.0020006
Ejecución 933;0.0020065
Ejecución 934;0.0030006
Ejecución 935;0.0030037
Ejecución 936;0.0029969
Ejecución 937;0.0020013
Ejecución 938;0.0020129
Ejecución 939;0.0029965
Ejecución 940;0.003
Ejecución 941;0.0030009
Ejecución 942;0.0020028
Ejecución 943;0.0020079
Ejecución 944;0.003
Ejecución 945;0.0030013
Ejecución 946;0.0030036
Ejecución 947;0.0019966
Ejecución 948;0.0020095
Ejecución 949;0.0029997
Ejecución 950;0.0030003
Ejecución 951;0.0020028
Ejecución 952;0.0020056
Ejecución 953;0.0020098
Ejecución 954;0.0030003
Ejecución 955;0.0029995
Ejecución 956;0.0030011
Ejecución 957;0.0020058
Ejecución 958;0.0020096
Ejecución 959;0.0030016
Ejecución 960;0.0029996
Ejecución 961;0.0020025
Ejecución 962;0.0019937
Ejecución 963;0.0020097
Ejecución 964;0.0030003
Ejecución 965;0.0030022
Ejecución 966;0.0020001
Ejecución 967;0.002009
Ejecución 968;0.0030018
Ejecución 969;0.0029988
Ejecución 970;0.0020006
Ejecución 971;0.0020024
Ejecución 972;0.0020086
Ejecución 973;0.003004
Ejecución 974;0.0029974
Ejecución 975;0.0020009
Ejecución 976;0.0019987
Ejecución 977;0.0020102
Ejecución 978;0.0040005
Ejecución 979;0.0030004
Ejecución 980;0.0030001
Ejecución 981;0.0030115
Ejecución 982;0.0030104
Ejecución 983;0.0040003
Ejecución 984;0.0030004
Ejecución 985;0.003003
Ejecución 986;0.0029978
Ejecución 987;0.0020002
