Algoritmo;insertion_sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;26.993s
Tiempo promedio;0.026993s
Tiempos individuales (s):
Ejecución 831;0.0262547
Ejecución 832;0.0316474
Ejecución 833;0.0279098
Ejecución 834;0.0263308
Ejecución 835;0.0263908
Ejecución 836;0.0263124
Ejecución 837;0.0263443
Ejecución 838;0.0263893
Ejecución 839;0.0264047
Ejecución 840;0.0265236
Ejecución 841;0.0263954
Ejecución 842;0.0263782
Ejecución 843;0.0264291
Ejecución 844;0.0262952
Ejecución 845;0.0263528
Ejecución 846;0.0266691
Ejecución 847;0.026397
Ejecución 848;0.0263763
Ejecución 849;0.0270296
Ejecución 850;0.0263581
Ejecución 851;0.0263668
Ejecución 852;0.0263378
Ejecución 853;0.0266652
Ejecución 854;0.0263809
Ejecución 855;0.0266363
Ejecución 856;0.0266749
Ejecución 857;0.0271012
Ejecución 858;0.0272123
Ejecución 859;0.0274106
Ejecución 860;0.0266052
Ejecución 861;0.0265806
Ejecución 862;0.0298201
Ejecución 863;0.0274123
Ejecución 864;0.0263808
Ejecución 865;0.0287418
Ejecución 866;0.0286032
Ejecución 867;0.0267149
Ejecución 868;0.0266811
Ejecución 869;0.0263906
Ejecución 870;0.026722
Ejecución 871;0.0264539
Ejecución 872;0.0273727
Ejecución 873;0.0267046
Ejecución 874;0.0263304
Ejecución 875;0.026358
Ejecución 876;0.0265169
Ejecución 877;0.0263348
Ejecución 878;0.0263918
Ejecución 879;0.0267347
Ejecución 880;0.0263754
Ejecución 881;0.0264313
Ejecución 882;0.0303411
Ejecución 883;0.0263598
Ejecución 884;0.0264275
Ejecución 885;0.0264279
Ejecución 886;0.0263991
Ejecución 887;0.0263289
Ejecución 888;0.026407
Ejecución 889;0.0264032
Ejecución 890;0.0265739
Ejecución 891;0.0266801
Ejecución 892;0.0270361
Ejecución 893;0.0263902
Ejecución 894;0.0274093
Ejecución 895;0.0282677
Ejecución 896;0.0264023
Ejecución 897;0.0263795
Ejecución 898;0.0268848
Ejecución 899;0.0294282
Ejecución 900;0.0271824
Ejecución 901;0.0263085
Ejecución 902;0.0263353
Ejecución 903;0.0263443
Ejecución 904;0.0263438
Ejecución 905;0.0263706
Ejecución 906;0.0264066
Ejecución 907;0.0264082
Ejecución 908;0.0264637
Ejecución 909;0.0263542
Ejecución 910;0.026326
Ejecución 911;0.026354
Ejecución 912;0.026424
Ejecución 913;0.0264763
Ejecución 914;0.0264064
Ejecución 915;0.0263537
Ejecución 916;0.0270137
Ejecución 917;0.0264097
Ejecución 918;0.0299191
Ejecución 919;0.0263041
Ejecución 920;0.0267255
Ejecución 921;0.0266883
Ejecución 922;0.0264237
Ejecución 923;0.0267389
Ejecución 924;0.0266879
Ejecución 925;0.0263873
Ejecución 926;0.0263089
Ejecución 927;0.0267065
Ejecución 928;0.0263365
Ejecución 929;0.026327
Ejecución 930;0.0265142
Ejecución 931;0.0264404
Ejecución 932;0.0283267
